lead,median_corr,median_nrmse
I,0.9363513987718304,0.4274742603302002
II,0.9164056523471142,0.46838390827178955
III,0.9117496963913613,0.4301978349685669
aVR,0.9355385230881169,0.42143210768699646
aVL,0.9242045507426113,0.4357985854148865
aVF,0.8945884609056678,0.4937620460987091
V1,0.9249931604868704,0.4611680507659912
V2,0.9080345225185676,0.4647212028503418
V3,0.929399509537741,0.42847228050231934
V4,0.9483232161518185,0.4015820622444153
V5,0.9544227897091997,0.3793797492980957
V6,0.9515747823697058,0.3892138600349426
