lead_set,n_leads,feature_group,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,ci_lo,ci_hi,kind,val_nrmse,epochs,preprocessing_scope,bootstrap_unit,n_boot
12 displayed channels,12,theta_only,0.9010929847362688,0.7769300977601766,0.7063841809799168,0.6634714996497375,0.8868720772088642,0.9154218613388372,main,,0.0,common_full_record_alignment,patient,1000.0
12 displayed channels,12,theta_plus_reconstruction,0.9014108235762697,0.7759464655044654,0.695127920842443,0.6542215786459613,0.887263639318269,0.9154638653854968,main,,0.0,common_full_record_alignment,patient,1000.0
II+V1+V5,3,theta_only,0.888878516945343,0.76198989141282,0.7003499189572499,0.6580614156734024,0.8725434686341621,0.9035747472632054,specific,0.4819096028804779,80.0,common_full_record_alignment,patient,1000.0
II+V1+V5,3,theta_plus_reconstruction,0.8871095212724889,0.7588066943005491,0.6879193925782511,0.6478399125269494,0.8714025054189635,0.9020683833120994,specific,0.4819096028804779,80.0,common_full_record_alignment,patient,1000.0
I+V1+V4,3,theta_only,0.8781200659095469,0.7183069573466853,0.6509905836148863,0.6143280053729252,0.8620478831612736,0.8925821779956805,specific,0.45591920614242554,80.0,common_full_record_alignment,patient,1000.0
I+V1+V4,3,theta_plus_reconstruction,0.8780879032570988,0.7212535806821527,0.6559257472783118,0.617356998366098,0.8617554597438102,0.8932275103922185,specific,0.45591920614242554,80.0,common_full_record_alignment,patient,1000.0
I+V1+V5,3,theta_only,0.8802986814583575,0.7261205073639415,0.65582185009125,0.6216969396055153,0.8659745260711521,0.8952935122623009,specific,0.4589992165565491,80.0,common_full_record_alignment,patient,1000.0
I+V1+V5,3,theta_plus_reconstruction,0.8791415115978276,0.725620899803028,0.6442202903991522,0.6119160226307437,0.8644720425491622,0.894074594280723,specific,0.4589992165565491,80.0,common_full_record_alignment,patient,1000.0
II,1,theta_only,0.8430490026896411,0.6571506054234051,0.6111220246159222,0.5734423744708632,0.8240375467097224,0.8612893166897527,specific,0.576598048210144,42.0,common_full_record_alignment,patient,1000.0
II,1,theta_plus_reconstruction,0.8442931066507506,0.6541852006490974,0.608104331103875,0.5706791503355271,0.8258282333212292,0.8621974157150641,specific,0.576598048210144,42.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_only,0.8823705025301837,0.7356102017852277,0.672351609788016,0.6320429578412322,0.866847400313405,0.8965931724768559,random,0.46493393182754517,80.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_plus_reconstruction,0.8833340763517308,0.7373979312468927,0.6719350426651298,0.6331252221153179,0.8677362671131293,0.8979845067079475,random,0.46493393182754517,80.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_only,0.881801560418157,0.7379731104547544,0.6688151622922502,0.6283420660112935,0.8670542930514064,0.895925786768791,random,0.45886296033859253,80.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_plus_reconstruction,0.8807655315937282,0.7345145401459908,0.666924467772208,0.6265481154475638,0.8649486221758561,0.89475782721703,random,0.45886296033859253,80.0,common_full_record_alignment,patient,1000.0
random3_V2+V4+V5,3,theta_only,0.8549144199686026,0.6841398689361858,0.6229380494524487,0.5883551341241624,0.8371843885047092,0.870568774763748,random,0.9087313413619995,33.0,common_full_record_alignment,patient,1000.0
random3_V2+V4+V5,3,theta_plus_reconstruction,0.8542849893170574,0.6898529087888461,0.6195518260159931,0.5827492586962826,0.8368243993855802,0.8703701816043896,random,0.9087313413619995,33.0,common_full_record_alignment,patient,1000.0
random3_II+V2+V3,3,theta_only,0.8811245274004754,0.7370339473613439,0.6620439644180082,0.6224298770613877,0.8649978084563045,0.8959659308072206,random,0.5204757452011108,52.0,common_full_record_alignment,patient,1000.0
random3_II+V2+V3,3,theta_plus_reconstruction,0.8804901264533942,0.7356235457828001,0.6661735677588917,0.6277051343310104,0.8645990462660215,0.8954297199979957,random,0.5204757452011108,52.0,common_full_record_alignment,patient,1000.0
random3_II+V1+V2,3,theta_only,0.8853610206472945,0.7337276594738131,0.6620086254406256,0.6247196532853762,0.8702021826851748,0.8995158918619045,random,0.4689099192619324,53.0,common_full_record_alignment,patient,1000.0
random3_II+V1+V2,3,theta_plus_reconstruction,0.8854629683582702,0.7336479837557158,0.6664189678987984,0.6283055967445677,0.8702596348015393,0.8997707213715337,random,0.4689099192619324,53.0,common_full_record_alignment,patient,1000.0
random3_V1+V2+V5,3,theta_only,0.8776608249769313,0.7207110877161432,0.6623184444895458,0.6297574170756346,0.8625047967627377,0.8927485608452553,random,0.4792332947254181,55.0,common_full_record_alignment,patient,1000.0
random3_V1+V2+V5,3,theta_plus_reconstruction,0.8786718387690747,0.7234700849645047,0.661221026474493,0.6273248110985558,0.8632162515121138,0.8935950021059953,random,0.4792332947254181,55.0,common_full_record_alignment,patient,1000.0
random3_I+II+V1,3,theta_only,0.8952490022738986,0.7580046929971006,0.6830257599447855,0.6411651071314876,0.8804347552829846,0.9092347280949044,random,0.4482208490371704,71.0,common_full_record_alignment,patient,1000.0
random3_I+II+V1,3,theta_plus_reconstruction,0.8958185284754194,0.7559768207284637,0.6717084353230289,0.6306145925922424,0.8812231152281987,0.9093826747967788,random,0.4482208490371704,71.0,common_full_record_alignment,patient,1000.0
random3_I+V5+V6,3,theta_only,0.8706594962090421,0.7085448846392856,0.6391532831189343,0.6003223294646853,0.8538516659521569,0.8850348285018365,random,0.48359084129333496,80.0,common_full_record_alignment,patient,1000.0
random3_I+V5+V6,3,theta_plus_reconstruction,0.8675243140428478,0.7035359545583413,0.6376332371334383,0.5999332582869206,0.8512279396167727,0.8830709184542778,random,0.48359084129333496,80.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_only,0.8397300773848853,0.6523584624306364,0.5992434108848216,0.5586530217927139,0.821123810292165,0.8552578941486203,random,0.9222875833511353,19.0,common_full_record_alignment,patient,1000.0
random3_I+V4+V6,3,theta_plus_reconstruction,0.838253456339499,0.6505037746583744,0.5924237764588582,0.5535136870315386,0.8198636252648521,0.854556276376613,random,0.9222875833511353,19.0,common_full_record_alignment,patient,1000.0
random3_V2+V4+V6,3,theta_only,0.8823653500188302,0.7289216742587001,0.6604633674791759,0.6253439647771399,0.8668346072044243,0.8968556844328878,random,0.493727445602417,53.0,common_full_record_alignment,patient,1000.0
random3_V2+V4+V6,3,theta_plus_reconstruction,0.8835891026726999,0.7313751848152943,0.6639325038923468,0.6288764355741469,0.868135885150483,0.8980595946113291,random,0.493727445602417,53.0,common_full_record_alignment,patient,1000.0
random 3-lead (mean±std),3,theta_plus_reconstruction,0.8748194932373721,,,,0.8578294314910673,0.8918095549836769,random_summary,,,common_full_record_alignment,,
