lead_set,feature_group,class,support,recall
12 displayed channels,theta_only,NORM,912,0.9418859649122807
12 displayed channels,theta_only,MI,256,0.50390625
12 displayed channels,theta_only,STTC,242,0.6157024793388429
12 displayed channels,theta_only,CD,184,0.592391304347826
12 displayed channels,theta_plus_reconstruction,NORM,912,0.9342105263157895
12 displayed channels,theta_plus_reconstruction,MI,256,0.48828125
12 displayed channels,theta_plus_reconstruction,STTC,242,0.6074380165289256
12 displayed channels,theta_plus_reconstruction,CD,184,0.5869565217391305
II+V1+V5,theta_only,NORM,912,0.944078947368421
II+V1+V5,theta_only,MI,256,0.45703125
II+V1+V5,theta_only,STTC,242,0.6115702479338843
II+V1+V5,theta_only,CD,184,0.6195652173913043
II+V1+V5,theta_plus_reconstruction,NORM,912,0.9375
II+V1+V5,theta_plus_reconstruction,MI,256,0.43359375
II+V1+V5,theta_plus_reconstruction,STTC,242,0.6115702479338843
II+V1+V5,theta_plus_reconstruction,CD,184,0.6086956521739131
I+V1+V4,theta_only,NORM,912,0.9320175438596491
I+V1+V4,theta_only,MI,256,0.35546875
I+V1+V4,theta_only,STTC,242,0.5991735537190083
I+V1+V4,theta_only,CD,184,0.5706521739130435
I+V1+V4,theta_plus_reconstruction,NORM,912,0.9320175438596491
I+V1+V4,theta_plus_reconstruction,MI,256,0.38671875
I+V1+V4,theta_plus_reconstruction,STTC,242,0.5909090909090909
I+V1+V4,theta_plus_reconstruction,CD,184,0.5597826086956522
I+V1+V5,theta_only,NORM,912,0.9429824561403509
I+V1+V5,theta_only,MI,256,0.33984375
I+V1+V5,theta_only,STTC,242,0.6115702479338843
I+V1+V5,theta_only,CD,184,0.592391304347826
I+V1+V5,theta_plus_reconstruction,NORM,912,0.9396929824561403
I+V1+V5,theta_plus_reconstruction,MI,256,0.31640625
I+V1+V5,theta_plus_reconstruction,STTC,242,0.5991735537190083
I+V1+V5,theta_plus_reconstruction,CD,184,0.592391304347826
II,theta_only,NORM,912,0.9232456140350878
II,theta_only,MI,256,0.33203125
II,theta_only,STTC,242,0.5330578512396694
II,theta_only,CD,184,0.5054347826086957
II,theta_plus_reconstruction,NORM,912,0.9254385964912281
II,theta_plus_reconstruction,MI,256,0.3203125
II,theta_plus_reconstruction,STTC,242,0.5206611570247934
II,theta_plus_reconstruction,CD,184,0.5163043478260869
random3_I+V4+V6,theta_only,NORM,912,0.9429824561403509
random3_I+V4+V6,theta_only,MI,256,0.41796875
random3_I+V4+V6,theta_only,STTC,242,0.6074380165289256
random3_I+V4+V6,theta_only,CD,184,0.5597826086956522
random3_I+V4+V6,theta_plus_reconstruction,NORM,912,0.9385964912280702
random3_I+V4+V6,theta_plus_reconstruction,MI,256,0.4140625
random3_I+V4+V6,theta_plus_reconstruction,STTC,242,0.6363636363636364
random3_I+V4+V6,theta_plus_reconstruction,CD,184,0.5434782608695652
random3_I+V4+V6,theta_only,NORM,912,0.9385964912280702
random3_I+V4+V6,theta_only,MI,256,0.41015625
random3_I+V4+V6,theta_only,STTC,242,0.6157024793388429
random3_I+V4+V6,theta_only,CD,184,0.5489130434782609
random3_I+V4+V6,theta_plus_reconstruction,NORM,912,0.9364035087719298
random3_I+V4+V6,theta_plus_reconstruction,MI,256,0.40234375
random3_I+V4+V6,theta_plus_reconstruction,STTC,242,0.6239669421487604
random3_I+V4+V6,theta_plus_reconstruction,CD,184,0.5434782608695652
random3_V2+V4+V5,theta_only,NORM,912,0.9133771929824561
random3_V2+V4+V5,theta_only,MI,256,0.359375
random3_V2+V4+V5,theta_only,STTC,242,0.5371900826446281
random3_V2+V4+V5,theta_only,CD,184,0.5434782608695652
random3_V2+V4+V5,theta_plus_reconstruction,NORM,912,0.9100877192982456
random3_V2+V4+V5,theta_plus_reconstruction,MI,256,0.359375
random3_V2+V4+V5,theta_plus_reconstruction,STTC,242,0.5289256198347108
random3_V2+V4+V5,theta_plus_reconstruction,CD,184,0.532608695652174
random3_II+V2+V3,theta_only,NORM,912,0.9243421052631579
random3_II+V2+V3,theta_only,MI,256,0.4296875
random3_II+V2+V3,theta_only,STTC,242,0.5867768595041323
random3_II+V2+V3,theta_only,CD,184,0.5489130434782609
random3_II+V2+V3,theta_plus_reconstruction,NORM,912,0.9265350877192983
random3_II+V2+V3,theta_plus_reconstruction,MI,256,0.43359375
random3_II+V2+V3,theta_plus_reconstruction,STTC,242,0.5909090909090909
random3_II+V2+V3,theta_plus_reconstruction,CD,184,0.5597826086956522
random3_II+V1+V2,theta_only,NORM,912,0.9265350877192983
random3_II+V1+V2,theta_only,MI,256,0.41796875
random3_II+V1+V2,theta_only,STTC,242,0.5619834710743802
random3_II+V1+V2,theta_only,CD,184,0.592391304347826
random3_II+V1+V2,theta_plus_reconstruction,NORM,912,0.9276315789473685
random3_II+V1+V2,theta_plus_reconstruction,MI,256,0.42578125
random3_II+V1+V2,theta_plus_reconstruction,STTC,242,0.5619834710743802
random3_II+V1+V2,theta_plus_reconstruction,CD,184,0.5978260869565217
random3_V1+V2+V5,theta_only,NORM,912,0.9298245614035088
random3_V1+V2+V5,theta_only,MI,256,0.3671875
random3_V1+V2+V5,theta_only,STTC,242,0.640495867768595
random3_V1+V2+V5,theta_only,CD,184,0.5815217391304348
random3_V1+V2+V5,theta_plus_reconstruction,NORM,912,0.9331140350877193
random3_V1+V2+V5,theta_plus_reconstruction,MI,256,0.3515625
random3_V1+V2+V5,theta_plus_reconstruction,STTC,242,0.6322314049586777
random3_V1+V2+V5,theta_plus_reconstruction,CD,184,0.592391304347826
random3_I+II+V1,theta_only,NORM,912,0.9385964912280702
random3_I+II+V1,theta_only,MI,256,0.4140625
random3_I+II+V1,theta_only,STTC,242,0.6033057851239669
random3_I+II+V1,theta_only,CD,184,0.6086956521739131
random3_I+II+V1,theta_plus_reconstruction,NORM,912,0.9342105263157895
random3_I+II+V1,theta_plus_reconstruction,MI,256,0.40625
random3_I+II+V1,theta_plus_reconstruction,STTC,242,0.5950413223140496
random3_I+II+V1,theta_plus_reconstruction,CD,184,0.5869565217391305
random3_I+V5+V6,theta_only,NORM,912,0.9418859649122807
random3_I+V5+V6,theta_only,MI,256,0.35546875
random3_I+V5+V6,theta_only,STTC,242,0.5495867768595041
random3_I+V5+V6,theta_only,CD,184,0.5543478260869565
random3_I+V5+V6,theta_plus_reconstruction,NORM,912,0.9375
random3_I+V5+V6,theta_plus_reconstruction,MI,256,0.35546875
random3_I+V5+V6,theta_plus_reconstruction,STTC,242,0.5578512396694215
random3_I+V5+V6,theta_plus_reconstruction,CD,184,0.5489130434782609
random3_I+V4+V6,theta_only,NORM,912,0.9199561403508771
random3_I+V4+V6,theta_only,MI,256,0.3125
random3_I+V4+V6,theta_only,STTC,242,0.45867768595041325
random3_I+V4+V6,theta_only,CD,184,0.5434782608695652
random3_I+V4+V6,theta_plus_reconstruction,NORM,912,0.9254385964912281
random3_I+V4+V6,theta_plus_reconstruction,MI,256,0.28125
random3_I+V4+V6,theta_plus_reconstruction,STTC,242,0.44214876033057854
random3_I+V4+V6,theta_plus_reconstruction,CD,184,0.5652173913043478
random3_V2+V4+V6,theta_only,NORM,912,0.9331140350877193
random3_V2+V4+V6,theta_only,MI,256,0.40234375
random3_V2+V4+V6,theta_only,STTC,242,0.6115702479338843
random3_V2+V4+V6,theta_only,CD,184,0.5543478260869565
random3_V2+V4+V6,theta_plus_reconstruction,NORM,912,0.9320175438596491
random3_V2+V4+V6,theta_plus_reconstruction,MI,256,0.40234375
random3_V2+V4+V6,theta_plus_reconstruction,STTC,242,0.6322314049586777
random3_V2+V4+V6,theta_plus_reconstruction,CD,184,0.5489130434782609
