feature,source
D_act,named_theta
D_rep_old_APDdisp,named_theta
S_ST_internal_L2,named_theta
mean_vent_APD,named_theta
vent_delta_spread,named_theta
prox_delay,named_theta
leaf_delay_spread,named_theta
APD_mean,named_theta
APD_disp,named_theta
APD_cv,named_theta
tau_rep_mean,named_theta
tau_rep_disp,named_theta
tau_rep_cv,named_theta
Tend_mean,named_theta
Tend_disp,named_theta
Tend_cv,named_theta
Sync_rep,named_theta
Tpeak_mean,reconstructed_ecg
Tpeak_std,reconstructed_ecg
Tpeak_maxabs,reconstructed_ecg
Tpeak_range,reconstructed_ecg
Tptime_mean,reconstructed_ecg
Tptime_std,reconstructed_ecg
Tptime_maxabs,reconstructed_ecg
Tptime_range,reconstructed_ecg
Tarea_mean,reconstructed_ecg
Tarea_std,reconstructed_ecg
Tarea_maxabs,reconstructed_ecg
Tarea_range,reconstructed_ecg
Tabsarea_mean,reconstructed_ecg
Tabsarea_std,reconstructed_ecg
Tabsarea_maxabs,reconstructed_ecg
Tabsarea_range,reconstructed_ecg
Twidth_mean,reconstructed_ecg
Twidth_std,reconstructed_ecg
Twidth_maxabs,reconstructed_ecg
Twidth_range,reconstructed_ecg
Tasym_mean,reconstructed_ecg
Tasym_std,reconstructed_ecg
Tasym_maxabs,reconstructed_ecg
Tasym_range,reconstructed_ecg
Tlowamp_mean,reconstructed_ecg
Tlowamp_std,reconstructed_ecg
Tlowamp_maxabs,reconstructed_ecg
Tlowamp_range,reconstructed_ecg
STmean_mean,reconstructed_ecg
STmean_std,reconstructed_ecg
STmean_maxabs,reconstructed_ecg
STmean_range,reconstructed_ecg
STslope_mean,reconstructed_ecg
STslope_std,reconstructed_ecg
STslope_maxabs,reconstructed_ecg
STslope_range,reconstructed_ecg
T_sign_discordance_rate,reconstructed_ecg
obs_Tpeak_mean,observed_ecg
obs_Tpeak_std,observed_ecg
obs_Tpeak_maxabs,observed_ecg
obs_Tpeak_range,observed_ecg
obs_Tptime_mean,observed_ecg
obs_Tptime_std,observed_ecg
obs_Tptime_maxabs,observed_ecg
obs_Tptime_range,observed_ecg
obs_Tarea_mean,observed_ecg
obs_Tarea_std,observed_ecg
obs_Tarea_maxabs,observed_ecg
obs_Tarea_range,observed_ecg
obs_Tabsarea_mean,observed_ecg
obs_Tabsarea_std,observed_ecg
obs_Tabsarea_maxabs,observed_ecg
obs_Tabsarea_range,observed_ecg
obs_Twidth_mean,observed_ecg
obs_Twidth_std,observed_ecg
obs_Twidth_maxabs,observed_ecg
obs_Twidth_range,observed_ecg
obs_Tasym_mean,observed_ecg
obs_Tasym_std,observed_ecg
obs_Tasym_maxabs,observed_ecg
obs_Tasym_range,observed_ecg
obs_Tlowamp_mean,observed_ecg
obs_Tlowamp_std,observed_ecg
obs_Tlowamp_maxabs,observed_ecg
obs_Tlowamp_range,observed_ecg
obs_STmean_mean,observed_ecg
obs_STmean_std,observed_ecg
obs_STmean_maxabs,observed_ecg
obs_STmean_range,observed_ecg
obs_STslope_mean,observed_ecg
obs_STslope_std,observed_ecg
obs_STslope_maxabs,observed_ecg
obs_STslope_range,observed_ecg
obs_T_sign_discordance_rate,observed_ecg
ST_L2,named_theta
ST_L1,named_theta
ST_max_abs,named_theta
ST_signed_sum,named_theta
ST_spatial_disp,named_theta
ST_entropy,named_theta
ST_anterior_strength,named_theta
ST_lateral_strength,named_theta
ST_inferior_strength,named_theta
ST_right_septal_strength,named_theta
ST_region_max,named_theta
ST_region_argmax,named_theta
ST_projected_L2,theta_and_leadfield
ST_projected_max_abs,theta_and_leadfield
ST_projected_anterior_leads,theta_and_leadfield
ST_projected_lateral_leads,theta_and_leadfield
ST_projected_inferior_leads,theta_and_leadfield
ST_projected_sign_discordance,theta_and_leadfield
