a,b,abs_corr,corr
alpha_ST1,alpha_ST2,0.9818022157470259,0.9818022157470259
edge_leaf0,edge_leaf1,0.9756424483500661,0.9756424483500661
q3,q4,0.964726767305518,0.964726767305518
edge_leaf3,edge_leaf4,0.9614383494666564,0.9614383494666564
edge_leaf1,edge_leaf2,0.9407177990543552,0.9407177990543552
edge_leaf0,edge_leaf2,0.9270740996085929,0.9270740996085929
edge_leaf0,edge_leaf3,0.9181793770705949,0.9181793770705949
q6,q7,0.9145399654637493,0.9145399654637493
edge_leaf1,edge_leaf3,0.9076103380740109,0.9076103380740109
edge_leaf0,edge_leaf4,0.8832296846722711,0.8832296846722711
edge_leaf1,edge_leaf4,0.88253365177594,0.88253365177594
alpha_ST4,alpha_ST5,0.8580216597425853,0.8580216597425853
edge_leaf2,edge_leaf3,0.8418917730181527,0.8418917730181527
delta_root,edge_prox0,0.8219722173857297,-0.8219722173857297
edge_leaf2,edge_leaf4,0.8155379901114772,0.8155379901114772
q4,q5,0.8055399402163844,0.8055399402163844
q3,q5,0.791986507175251,0.791986507175251
tau_dep3,tau_dep4,0.7893355056393649,0.7893355056393649
alpha_ST1,alpha_ST3,0.7380283482876236,0.7380283482876236
alpha_ST2,alpha_ST3,0.7378057754094413,0.7378057754094413
