feature,kw_p,NORM_mean,NORM_std,MI_mean,MI_std,STTC_mean,STTC_std,CD_mean,CD_std,expect,cliffs_delta,direction_ok,fdr_q
D_rep_old_APDdisp,0.01683432508345447,0.22013245522975922,0.02287868596613407,0.21841216087341309,0.02231404185295105,0.22022883594036102,0.021527130156755447,0.211691752076149,0.03096606768667698,,,,0.020441680458480428
APD_mean,0.9093166305889255,0.28154581785202026,0.02481439709663391,0.28169307112693787,0.02200005017220974,0.28062427043914795,0.021390892565250397,0.2816983163356781,0.025440629571676254,,,,0.9093166305889255
APD_disp,0.01683432508345447,0.22013245522975922,0.02287868596613407,0.21841216087341309,0.02231404185295105,0.22022883594036102,0.021527130156755447,0.211691752076149,0.03096606768667698,,,,0.020441680458480428
APD_cv,0.05051626447003165,0.2781349718570709,0.0533265583217144,0.27317512035369873,0.05138915404677391,0.27448540925979614,0.050837717950344086,0.26615944504737854,0.055280569940805435,,,,0.05725176639936921
tau_rep_mean,1.8610642362439612e-13,0.07310251891613007,0.004260258749127388,0.07243382930755615,0.004517844412475824,0.0748603567481041,0.00455260556191206,0.07069367170333862,0.0067878901027143,,,,3.163809201614734e-13
tau_rep_disp,9.778003863655697e-76,0.049278486520051956,0.006174173671752214,0.04362257197499275,0.007755147758871317,0.038427967578172684,0.007516440469771624,0.04769859462976456,0.008107035420835018,STTC up vs NORM,-0.7267833840800348,False,8.311303284107342e-75
tau_rep_cv,4.296171220971035e-86,0.25553756952285767,0.04223322123289108,0.22392815351486206,0.053475022315979004,0.1782999485731125,0.044480063021183014,0.25083452463150024,0.06115126237273216,,,,7.30349107565076e-85
Tend_mean,0.20634293674808454,0.4347481429576874,0.032127801328897476,0.4339175820350647,0.030208304524421692,0.43761569261550903,0.02967957593500614,0.4386937618255615,0.03550555184483528,,,,0.21923937029483984
Tend_disp,1.026906955951581e-23,0.3187805712223053,0.03079160675406456,0.3077601194381714,0.03272652253508568,0.29488512873649597,0.03289730101823807,0.3071092665195465,0.03667200356721878,STTC up vs NORM,-0.40970711903726253,False,2.1821772813971098e-23
Tend_cv,5.347024215711211e-08,0.25628662109375,0.04277706891298294,0.2493991106748581,0.04522518441081047,0.23838113248348236,0.04470759257674217,0.24534855782985687,0.04590293765068054,,,,7.574950972257549e-08
Sync_rep,1.1072020476108574e-15,0.11313124746084213,0.024676613509655,0.12119083106517792,0.02835283987224102,0.13127049803733826,0.03204549849033356,0.12353625148534775,0.033727724105119705,STTC down vs NORM,0.3310678555893867,False,2.091381645487175e-15
Tpeak_maxabs,6.803636079993418e-70,0.3610258996486664,0.1474483609199524,0.281006783246994,0.13633151352405548,0.18610802292823792,0.10117816925048828,0.4789486825466156,0.3462055027484894,STTC down vs NORM,-0.6997154559953602,True,2.8915453339972024e-69
Tarea_mean,3.3804113547088843e-60,0.009039361961185932,0.005140642169862986,0.006755496375262737,0.005840228404849768,0.0024626071099191904,0.004230950493365526,0.011807114817202091,0.01255504135042429,,,,9.577832171675172e-60
Tabsarea_mean,6.789307713489449e-75,0.022735973820090294,0.007884366437792778,0.018244408071041107,0.007038882467895746,0.013415864668786526,0.005129509139806032,0.02888292632997036,0.016047881916165352,,,,3.847274370977354e-74
Tasym_mean,1.5264906094900884e-10,0.17362232323590665,0.19314532836460513,0.23652440940120792,0.22067277842148544,0.2823752013099199,0.3124021873922119,0.2331196405897756,0.20648902100450875,,,,2.359121851030137e-10
Tlowamp_mean,6.9391178148789806e-65,0.5336254239082336,0.09901925176382065,0.5900784730911255,0.10341764241456985,0.655785322189331,0.0879012793302536,0.4836652874946594,0.14148050546646118,,,,2.3593000570588534e-64
T_sign_discordance_rate,3.9585118818659046e-43,0.27905701754385964,0.17199802705381012,0.3623046875,0.18222160809627932,0.4242424242424242,0.13927860841553208,0.33967391304347827,0.16518073821118623,STTC up vs NORM,0.5389843410178339,True,9.613528855960055e-43
