feature_group,class,auroc,auprc,f1,sensitivity,specificity,support
C0_theta,NORM,0.9006244533621444,0.9125102029833847,0.8571428571428571,0.9407894736842105,0.6598240469208211,912
C0_theta,MI,0.8826986406950672,0.6779878373303018,0.5879629629629629,0.49609375,0.9633781763826607,256
C0_theta,STTC,0.9335664335664335,0.754138382165696,0.6785714285714286,0.628099173553719,0.9600591715976331,242
C0_theta,CD,0.8941643539932161,0.7468963851694927,0.673202614379085,0.5597826086956522,0.9865248226950355,184
C1_theta_old,NORM,0.9001935741112311,0.9109915948594589,0.8561438561438561,0.9396929824561403,0.658357771260997,912
C1_theta_old,MI,0.8826782044095666,0.6749078304075641,0.5747126436781609,0.48828125,0.9596412556053812,256
C1_theta_old,STTC,0.9349601447503545,0.7598098744795573,0.6845637583892618,0.6322314049586777,0.9615384615384616,242
C1_theta_old,CD,0.8887257169287696,0.7437710190667931,0.6644736842105263,0.5489130434782609,0.9865248226950355,184
C2_theta_rep,NORM,0.9001791042856406,0.9121082410757968,0.8555667001003009,0.9353070175438597,0.6642228739002932,912
C2_theta_rep,MI,0.8842985099028401,0.6757953738565436,0.5793103448275863,0.4921875,0.9603886397608371,256
C2_theta_rep,STTC,0.9336489559391657,0.7528863840780576,0.6902654867256637,0.6446280991735537,0.9600591715976331,242
C2_theta_rep,CD,0.8859697810669133,0.7473977243014939,0.6905537459283387,0.5760869565217391,0.9879432624113476,184
C3_theta_st,NORM,0.9013945696352318,0.9127115159206537,0.8545727136431784,0.9375,0.656891495601173,912
C3_theta_st,MI,0.8836795823991032,0.6823486402605426,0.592255125284738,0.5078125,0.9603886397608371,256
C3_theta_st,STTC,0.9364608293804096,0.756581308157441,0.6893424036281179,0.628099173553719,0.9652366863905325,242
C3_theta_st,CD,0.8905103299414123,0.7477993158297449,0.6840390879478827,0.5706521739130435,0.9872340425531915,184
C4_theta_stab,NORM,0.900196789628029,0.912526800896814,0.8585707146426786,0.9418859649122807,0.6627565982404692,912
C4_theta_stab,MI,0.8813118927503736,0.6744782982704802,0.5944700460829493,0.50390625,0.9633781763826607,256
C4_theta_stab,STTC,0.9345291945816421,0.7520298806065688,0.695067264573991,0.640495867768595,0.9637573964497042,242
C4_theta_stab,CD,0.8902713536848597,0.745890247565393,0.6905537459283387,0.5760869565217391,0.9879432624113476,184
C5_theta_rep_st_stab,NORM,0.9012209317281473,0.9125533577674205,0.8569994982438535,0.9364035087719298,0.6671554252199413,912
C5_theta_rep_st_stab,MI,0.8820972300074739,0.677831037036276,0.5912240184757506,0.5,0.9633781763826607,256
C5_theta_rep_st_stab,STTC,0.9351190767274683,0.7558935209935563,0.6917960088691796,0.6446280991735537,0.9607988165680473,242
C5_theta_rep_st_stab,CD,0.8895081714461918,0.7465677276903835,0.6752411575562701,0.5706521739130435,0.9843971631205674,184
C6_compact_heuristic,NORM,0.8971934969388281,0.9081017703978024,0.8508728179551123,0.9353070175438597,0.6480938416422287,912
C6_compact_heuristic,MI,0.8785004437593423,0.6595235226149199,0.5566037735849056,0.4609375,0.9626307922272048,256
C6_compact_heuristic,STTC,0.9308462516504474,0.7363562997358495,0.6622516556291391,0.6198347107438017,0.9548816568047337,242
C6_compact_heuristic,CD,0.8882747456059203,0.7485051907973476,0.6797385620915033,0.5652173913043478,0.9872340425531915,184
