class,rho,m_stab,log_stab
NORM,0.9807643294334412,0.019235670566558838,0.032371803817314755
NORM,0.9795402884483337,0.02045971155166626,0.03445318295906385
NORM,0.9809637069702148,0.019036293029785156,0.03203302505770918
NORM,0.9808261394500732,0.019173860549926758,0.03226676997263616
NORM,0.9808534383773804,0.01914656162261963,0.032220382975851
NORM,0.9806737303733826,0.01932626962661743,0.03252577088512956
NORM,0.9809451103210449,0.019054889678955078,0.03206462124095619
NORM,0.9809375405311584,0.019062459468841553,0.03207748267939052
NORM,0.9803040027618408,0.01969599723815918,0.0331542458363377
NORM,0.9794700741767883,0.02052992582321167,0.03457265530905473
NORM,0.9809104800224304,0.01908951997756958,0.03212346060159899
NORM,0.9807989597320557,0.019201040267944336,0.032312955688759894
NORM,0.9803892374038696,0.01961076259613037,0.03300934021443914
NORM,0.9801531434059143,0.019846856594085693,0.03341074954069951
NORM,0.9790045022964478,0.020995497703552246,0.03536506094663278
NORM,0.980841338634491,0.019158661365509033,0.03224094299198096
NORM,0.9804456830024719,0.019554316997528076,0.03291338517342933
NORM,0.9808276295661926,0.019172370433807373,0.03226423789801389
NORM,0.9809094667434692,0.01909053325653076,0.03212518226649459
NORM,0.9809160232543945,0.01908397674560547,0.03211404211335311
MI,0.9807589054107666,0.0192410945892334,0.03238102118229026
MI,0.9801391363143921,0.01986086368560791,0.033434567573097144
MI,0.9807783961296082,0.019221603870391846,0.032347899679737106
MI,0.9784122109413147,0.021587789058685303,0.03637368857405443
MI,0.9804242253303528,0.019575774669647217,0.03294986162368053
MI,0.980111837387085,0.01988816261291504,0.03348098837609173
MI,0.9805983304977417,0.0194016695022583,0.03265391879672465
MI,0.9808269143104553,0.019173085689544678,0.032265453293352495
MI,0.9799932837486267,0.02000671625137329,0.033682599397193765
MI,0.9772643446922302,0.022735655307769775,0.03833015793741815
MI,0.9785313606262207,0.021468639373779297,0.03617073657165199
MI,0.9798722863197327,0.020127713680267334,0.03388839145213911
MI,0.9807824492454529,0.01921755075454712,0.03234101211049999
MI,0.9801979660987854,0.0198020339012146,0.03333453412429467
MI,0.9802286028862,0.01977139711380005,0.03328244208155513
MI,0.9789934754371643,0.021006524562835693,0.03538383328347497
MI,0.980572521686554,0.019427478313446045,0.03269778512812929
MI,0.9804056286811829,0.01959437131881714,0.03298147519299569
MI,0.9805126190185547,0.019487380981445312,0.03279960404241888
MI,0.9798293113708496,0.02017068862915039,0.03396148922868619
STTC,0.9807826280593872,0.019217371940612793,0.03234070824780686
STTC,0.9802192449569702,0.019780755043029785,0.03329835329155502
STTC,0.980296790599823,0.019703209400177002,0.03316650765940561
STTC,0.9806212186813354,0.01937878131866455,0.03261501751957284
STTC,0.9786394834518433,0.02136051654815674,0.035986588407054744
STTC,0.9802706241607666,0.0197293758392334,0.03321099552693867
STTC,0.98069167137146,0.01930832862854004,0.03249528022448463
STTC,0.9802677631378174,0.019732236862182617,0.033215859876046104
STTC,0.9793639183044434,0.02063608169555664,0.034753299972747474
STTC,0.9805871844291687,0.0194128155708313,0.0326728632370082
STTC,0.9794683456420898,0.020531654357910156,0.034575596586975524
STTC,0.9799771308898926,0.020022869110107422,0.033710070660020616
STTC,0.9778969287872314,0.022103071212768555,0.03725167211119655
STTC,0.9806657433509827,0.019334256649017334,0.03253934497994045
STTC,0.9803653359413147,0.019634664058685303,0.03304997331704949
STTC,0.9802590608596802,0.019740939140319824,0.03323065569184737
STTC,0.9808018207550049,0.019198179244995117,0.03230809397415965
STTC,0.980875551700592,0.01912444829940796,0.03218280842927856
STTC,0.9805959463119507,0.019404053688049316,0.03265797106531217
STTC,0.9803064465522766,0.01969355344772339,0.03315009102419037
CD,0.9796341061592102,0.020365893840789795,0.03429356179225905
CD,0.9809390902519226,0.019060909748077393,0.03207484962092282
CD,0.9805111289024353,0.019488871097564697,0.03280213693052463
CD,0.9807986617088318,0.019201338291168213,0.03231346211817967
CD,0.9804025888442993,0.019597411155700684,0.032986642852693836
CD,0.9798628091812134,0.02013719081878662,0.03390451121331065
CD,0.9801279902458191,0.019872009754180908,0.03345352088888206
CD,0.9794005155563354,0.02059948444366455,0.03469102048807791
CD,0.9804610013961792,0.0195389986038208,0.03288734552926228
CD,0.980326235294342,0.01967376470565796,0.03311644756098733
CD,0.9807146787643433,0.01928532123565674,0.03245618006070111
CD,0.9805853962898254,0.01941460371017456,0.03267590247207097
CD,0.9809451699256897,0.019054830074310303,0.03206451997018124
CD,0.9791740775108337,0.02082592248916626,0.03507639947250347
CD,0.9798020124435425,0.02019798755645752,0.034007924710281266
CD,0.9809693098068237,0.01903069019317627,0.03202350581222479
CD,0.9784080982208252,0.021591901779174805,0.036380694362077054
CD,0.9793624877929688,0.02063751220703125,0.03475573439726042
CD,0.9790859222412109,0.020914077758789062,0.03522645661439385
CD,0.9809658527374268,0.019034147262573242,0.03202937938280185
