feature_group,n_features,classifier,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,multiclass_brier,toplabel_ece,auroc_ci_lo,auroc_ci_hi,bootstrap_unit,n_boot
C0_theta,47,logreg,0.8908320645785441,0.7453853475162444,0.6692401420479738,0.6873546215844476,0.38576062573065956,0.04467744412554048,0.8753520213622447,0.9044116160608457,patient,1000
C0_theta,47,xgboost,0.9010929847362688,0.7769300977601766,0.7063841809799168,0.6634714996497375,0.32531977981491833,0.030792584682498104,0.8868720772088642,0.9154218613388372,patient,1000
C1_theta_old,52,logreg,0.891777635190066,0.7477084353569489,0.6735252594083893,0.6917044804451841,0.38504612439730995,0.03677904554667522,0.8764374280165332,0.9060803364407333,patient,1000
C1_theta_old,52,xgboost,0.9014454818753842,0.7749812402455598,0.7037141349507283,0.6611877564914803,0.3248375791999726,0.029426124998586812,0.8871824862960874,0.9162502261753294,patient,1000
C2_theta_rep,63,logreg,0.8950702502249428,0.7552627209034489,0.668909120215299,0.6897360634704125,0.38053849114527444,0.033699520033028105,0.8800260993154196,0.9087778275670125,patient,1000
C2_theta_rep,63,xgboost,0.9004376411565225,0.7732663800130992,0.6977398537791797,0.6555406776871324,0.3249837917783265,0.033355993638224106,0.8858669669518968,0.9145625458778464,patient,1000
C3_theta_st,53,logreg,0.8909342159415272,0.7452609920373143,0.672797834838867,0.6914303576381665,0.3861372452411175,0.04609213737828793,0.8757584268294644,0.9046431803241787,patient,1000
C3_theta_st,53,xgboost,0.8995414421366748,0.7752879574619026,0.6991892182635794,0.6553711916334135,0.3261445136611291,0.028744872196704893,0.8848713537099687,0.9142168451528575,patient,1000
C4_theta_stab,49,logreg,0.89123708317438,0.7462633282935092,0.6692558908841182,0.6872416308819682,0.385247515441797,0.04697219840190447,0.8758332054706108,0.9049592043949494,patient,1000
C4_theta_stab,49,xgboost,0.8998960382520481,0.774861073872092,0.7014389859235906,0.6572880936142683,0.32648575669031243,0.039272012682152496,0.8856023924567941,0.9145561504609823,patient,1000
C5_theta_rep_st_stab,71,logreg,0.8952117395073362,0.7551430670942739,0.6700671551092501,0.6890917258941349,0.38051949754097747,0.03406925144625954,0.8802319179929631,0.9089810737555837,patient,1000
C5_theta_rep_st_stab,71,xgboost,0.9014108235762697,0.7759464655044654,0.695127920842443,0.6542215786459613,0.3257569446349922,0.03902857867507745,0.887263639318269,0.9154638653854968,patient,1000
C6_compact_heuristic,31,logreg,0.8767908555656716,0.7087828221462891,0.6534507395570518,0.6802670252129942,0.421409998197365,0.04562492085420217,0.8607744758297972,0.8922473070034461,patient,1000
C6_compact_heuristic,31,xgboost,0.8937697253610236,0.7479703086024583,0.6761839843705456,0.6335136961426991,0.34657164580926775,0.040408365643458205,0.8792120352287596,0.9075093180093099,patient,1000
