seed,window,lead,median_nrmse
42,P,I,1.6360526084899902
42,P,II,1.3297710418701172
42,P,III,1.02597975730896
42,P,aVR,1.4741016626358032
42,P,aVL,1.3950848579406738
42,P,aVF,1.199812650680542
42,P,V1,2.5610930919647217
42,P,V2,2.329270362854004
42,P,V3,1.6121134757995605
42,P,V4,1.9116524457931519
42,P,V5,2.3855435848236084
42,P,V6,2.395024538040161
42,QRS,I,0.20158390700817108
42,QRS,II,0.26074349880218506
42,QRS,III,0.2592148780822754
42,QRS,aVR,0.21892085671424866
42,QRS,aVL,0.2127627730369568
42,QRS,aVF,0.2981994152069092
42,QRS,V1,0.22424864768981934
42,QRS,V2,0.3004362881183624
42,QRS,V3,0.34371858835220337
42,QRS,V4,0.2630854547023773
42,QRS,V5,0.19585075974464417
42,QRS,V6,0.1951853334903717
42,ST,I,0.5510919690132141
42,ST,II,0.5264742970466614
42,ST,III,0.46021348237991333
42,ST,aVR,0.5464575886726379
42,ST,aVL,0.49574974179267883
42,ST,aVF,0.5014350414276123
42,ST,V1,0.37431013584136963
42,ST,V2,0.38520461320877075
42,ST,V3,0.5290138125419617
42,ST,V4,0.6024227738380432
42,ST,V5,0.6355895400047302
42,ST,V6,0.5880619287490845
42,T,I,0.47517991065979004
42,T,II,0.4443032741546631
42,T,III,0.5531297326087952
42,T,aVR,0.44632473587989807
42,T,aVL,0.5571048259735107
42,T,aVF,0.47621747851371765
42,T,V1,0.6432442665100098
42,T,V2,0.451048880815506
42,T,V3,0.33458858728408813
42,T,V4,0.43434688448905945
42,T,V5,0.4274771213531494
42,T,V6,0.4360489845275879
1,P,I,1.4258811473846436
1,P,II,1.3965775966644287
1,P,III,1.0475753545761108
1,P,aVR,1.4388916492462158
1,P,aVL,1.0840635299682617
1,P,aVF,1.2740380764007568
1,P,V1,1.583392858505249
1,P,V2,1.1595888137817383
1,P,V3,0.9055891036987305
1,P,V4,1.6868393421173096
1,P,V5,2.1480398178100586
1,P,V6,2.0967302322387695
1,QRS,I,0.1921699345111847
1,QRS,II,0.24198076128959656
1,QRS,III,0.2431778907775879
1,QRS,aVR,0.20289495587348938
1,QRS,aVL,0.2078876495361328
1,QRS,aVF,0.2810295820236206
1,QRS,V1,0.22439178824424744
1,QRS,V2,0.2620406150817871
1,QRS,V3,0.3036960959434509
1,QRS,V4,0.23885780572891235
1,QRS,V5,0.19149361550807953
1,QRS,V6,0.19245502352714539
1,ST,I,0.5356159806251526
1,ST,II,0.4790903627872467
1,ST,III,0.4208580255508423
1,ST,aVR,0.4927835762500763
1,ST,aVL,0.4545798897743225
1,ST,aVF,0.447723925113678
1,ST,V1,0.3469323217868805
1,ST,V2,0.4052444100379944
1,ST,V3,0.5725569128990173
1,ST,V4,0.7349787950515747
1,ST,V5,0.8101006746292114
1,ST,V6,0.7183101177215576
1,T,I,0.44411540031433105
1,T,II,0.47967150807380676
1,T,III,0.5858336687088013
1,T,aVR,0.44653940200805664
1,T,aVL,0.5014839768409729
1,T,aVF,0.5374420881271362
1,T,V1,0.6229938268661499
1,T,V2,0.3658812642097473
1,T,V3,0.3110527992248535
1,T,V4,0.4332977533340454
1,T,V5,0.38171839714050293
1,T,V6,0.4121915102005005
2,P,I,1.0239204168319702
2,P,II,1.024301528930664
2,P,III,1.0255522727966309
2,P,aVR,1.0252125263214111
2,P,aVL,1.0009222030639648
2,P,aVF,1.0390658378601074
2,P,V1,1.029675006866455
2,P,V2,0.9709935784339905
2,P,V3,0.9572157859802246
2,P,V4,0.9856253266334534
2,P,V5,1.0233410596847534
2,P,V6,1.038191795349121
2,QRS,I,0.2004929482936859
2,QRS,II,0.24795041978359222
2,QRS,III,0.24622312188148499
2,QRS,aVR,0.20870047807693481
2,QRS,aVL,0.2126236855983734
2,QRS,aVF,0.2863771319389343
2,QRS,V1,0.22882656753063202
2,QRS,V2,0.28058159351348877
2,QRS,V3,0.3244273066520691
2,QRS,V4,0.2519075274467468
2,QRS,V5,0.200388103723526
2,QRS,V6,0.19998407363891602
2,ST,I,0.5148923397064209
2,ST,II,0.4261578321456909
2,ST,III,0.4063897132873535
2,ST,aVR,0.4600656032562256
2,ST,aVL,0.472385436296463
2,ST,aVF,0.40908390283584595
2,ST,V1,0.38516589999198914
2,ST,V2,0.37413832545280457
2,ST,V3,0.528785228729248
2,ST,V4,0.5383713245391846
2,ST,V5,0.6081337928771973
2,ST,V6,0.5944405794143677
2,T,I,0.498092383146286
2,T,II,0.5338441133499146
2,T,III,0.5443170070648193
2,T,aVR,0.5105898380279541
2,T,aVL,0.514987587928772
2,T,aVF,0.5603882670402527
2,T,V1,0.6091344356536865
2,T,V2,0.48025691509246826
2,T,V3,0.38669705390930176
2,T,V4,0.4460945129394531
2,T,V5,0.46581512689590454
2,T,V6,0.5027954578399658
3,P,I,1.28257417678833
3,P,II,1.0243821144104004
3,P,III,0.9788966178894043
3,P,aVR,1.128960132598877
3,P,aVL,1.2420060634613037
3,P,aVF,0.9543380737304688
3,P,V1,1.0979201793670654
3,P,V2,1.3642433881759644
3,P,V3,1.488328218460083
3,P,V4,1.485647201538086
3,P,V5,1.3386402130126953
3,P,V6,1.1842949390411377
3,QRS,I,0.20480035245418549
3,QRS,II,0.26265397667884827
3,QRS,III,0.2851184904575348
3,QRS,aVR,0.21766071021556854
3,QRS,aVL,0.2270638644695282
3,QRS,aVF,0.31344178318977356
3,QRS,V1,0.23101003468036652
3,QRS,V2,0.2789095640182495
3,QRS,V3,0.32887691259384155
3,QRS,V4,0.2674633860588074
3,QRS,V5,0.2068321406841278
3,QRS,V6,0.20484104752540588
3,ST,I,0.5788071751594543
3,ST,II,0.4212970733642578
3,ST,III,0.47509321570396423
3,ST,aVR,0.48180949687957764
3,ST,aVL,0.5317094326019287
3,ST,aVF,0.4328857958316803
3,ST,V1,0.3655613362789154
3,ST,V2,0.4013274908065796
3,ST,V3,0.5456088781356812
3,ST,V4,0.6693233847618103
3,ST,V5,0.7688734531402588
3,ST,V6,0.7092093825340271
3,T,I,0.44440537691116333
3,T,II,0.48009783029556274
3,T,III,0.5471591949462891
3,T,aVR,0.45378708839416504
3,T,aVL,0.4748913645744324
3,T,aVF,0.5351254940032959
3,T,V1,0.6211150884628296
3,T,V2,0.4457501769065857
3,T,V3,0.3514617681503296
3,T,V4,0.48295074701309204
3,T,V5,0.47260865569114685
3,T,V6,0.46528515219688416
4,P,I,1.5986336469650269
4,P,II,1.152984619140625
4,P,III,1.0760692358016968
4,P,aVR,1.3174009323120117
4,P,aVL,1.550613522529602
4,P,aVF,1.0503406524658203
4,P,V1,1.075860619544983
4,P,V2,1.1667715311050415
4,P,V3,1.6417951583862305
4,P,V4,2.234044075012207
4,P,V5,2.294919729232788
4,P,V6,1.8691630363464355
4,QRS,I,0.1861693263053894
4,QRS,II,0.24419614672660828
4,QRS,III,0.25477534532546997
4,QRS,aVR,0.20172911882400513
4,QRS,aVL,0.20497284829616547
4,QRS,aVF,0.29529869556427
4,QRS,V1,0.2243707776069641
4,QRS,V2,0.274796724319458
4,QRS,V3,0.320120632648468
4,QRS,V4,0.2536638379096985
4,QRS,V5,0.1904747188091278
4,QRS,V6,0.19519522786140442
4,ST,I,0.4678632616996765
4,ST,II,0.4269550144672394
4,ST,III,0.439115047454834
4,ST,aVR,0.44197148084640503
4,ST,aVL,0.4489682912826538
4,ST,aVF,0.4365246295928955
4,ST,V1,0.33710649609565735
4,ST,V2,0.3933217227458954
4,ST,V3,0.5081322193145752
4,ST,V4,0.559849202632904
4,ST,V5,0.5961835384368896
4,ST,V6,0.5478818416595459
4,T,I,0.4607337713241577
4,T,II,0.4349363446235657
4,T,III,0.5367036461830139
4,T,aVR,0.4390895366668701
4,T,aVL,0.5408688187599182
4,T,aVF,0.46343061327934265
4,T,V1,0.5564888715744019
4,T,V2,0.44710397720336914
4,T,V3,0.3142889440059662
4,T,V4,0.41334444284439087
4,T,V5,0.38264381885528564
4,T,V6,0.4054364860057831
