seed,class,error_metric,n,spearman_rho,p_value,rho_mean,rho_std_ddof1,rho_median,rho_min,rho_max,n_seeds
42,NORM,nrmse_scaled_12lead,912.0,-0.09145740046093437,0.00571046417266289,,,,,,
42,NORM,corr_meanlead_12lead,912.0,0.07790722551759882,0.01861777200270792,,,,,,
42,MI,nrmse_scaled_12lead,256.0,0.2060661764705882,0.0009112327427771806,,,,,,
42,MI,corr_meanlead_12lead,256.0,-0.3444023231860837,1.535991680488677e-08,,,,,,
42,STTC,nrmse_scaled_12lead,242.0,-0.03451633566055797,0.5931150961550269,,,,,,
42,STTC,corr_meanlead_12lead,242.0,0.03268402199623123,0.6128940395314499,,,,,,
42,CD,nrmse_scaled_12lead,184.0,0.07770800023116488,0.294414950971282,,,,,,
42,CD,corr_meanlead_12lead,184.0,-0.28597214463215886,8.313441134916367e-05,,,,,,
1,NORM,nrmse_scaled_12lead,912.0,-0.13797518552827268,2.9015721167429247e-05,,,,,,
1,NORM,corr_meanlead_12lead,912.0,0.13098126464544935,7.271418043753475e-05,,,,,,
1,MI,nrmse_scaled_12lead,256.0,0.2071140421149004,0.0008565919630578908,,,,,,
1,MI,corr_meanlead_12lead,256.0,-0.3207269970244907,1.5564525331825305e-07,,,,,,
1,STTC,nrmse_scaled_12lead,242.0,-0.08095160075544837,0.2095326330083258,,,,,,
1,STTC,corr_meanlead_12lead,242.0,0.08893791428683923,0.16785768782559854,,,,,,
1,CD,nrmse_scaled_12lead,184.0,0.0922598293232648,0.21291015322808515,,,,,,
1,CD,corr_meanlead_12lead,184.0,-0.30928897536167665,1.9370275571781796e-05,,,,,,
2,NORM,nrmse_scaled_12lead,912.0,-0.19316616462435854,4.0788530774455615e-09,,,,,,
2,NORM,corr_meanlead_12lead,912.0,0.2019091391907052,7.620634990967804e-10,,,,,,
2,MI,nrmse_scaled_12lead,256.0,0.2833357175555047,4.106471801851794e-06,,,,,,
2,MI,corr_meanlead_12lead,256.0,-0.40836647402151516,1.041210235916791e-11,,,,,,
2,STTC,nrmse_scaled_12lead,242.0,-0.10468192550425671,0.10426843329151023,,,,,,
2,STTC,corr_meanlead_12lead,242.0,0.10304774557257898,0.1098191904766016,,,,,,
2,CD,nrmse_scaled_12lead,184.0,0.09073992024811696,0.22057638559687143,,,,,,
2,CD,corr_meanlead_12lead,184.0,-0.30739342335921094,2.190836561088827e-05,,,,,,
3,NORM,nrmse_scaled_12lead,912.0,-0.15664844789796845,1.9985865306772857e-06,,,,,,
3,NORM,corr_meanlead_12lead,912.0,0.11878341785357913,0.0003243972371585436,,,,,,
3,MI,nrmse_scaled_12lead,256.0,0.24726410505836574,6.357343910759623e-05,,,,,,
3,MI,corr_meanlead_12lead,256.0,-0.3541628519111924,5.579566602800915e-09,,,,,,
3,STTC,nrmse_scaled_12lead,242.0,-0.03389653270201492,0.5997730284135054,,,,,,
3,STTC,corr_meanlead_12lead,242.0,0.016997588102831408,0.792496350005587,,,,,,
3,CD,nrmse_scaled_12lead,184.0,0.0944270000577912,0.2023120466873967,,,,,,
3,CD,corr_meanlead_12lead,184.0,-0.30002504286182113,3.50756660444549e-05,,,,,,
4,NORM,nrmse_scaled_12lead,912.0,-0.15291636770138445,3.501871441727754e-06,,,,,,
4,NORM,corr_meanlead_12lead,912.0,0.0955268982694996,0.003883188731258395,,,,,,
4,MI,nrmse_scaled_12lead,256.0,0.21334186884870676,0.0005894738713586673,,,,,,
4,MI,corr_meanlead_12lead,256.0,-0.32492632753490497,1.0469121389217436e-07,,,,,,
4,STTC,nrmse_scaled_12lead,242.0,-0.04456019180022701,0.49022712649238664,,,,,,
4,STTC,corr_meanlead_12lead,242.0,0.055047732024973324,0.3939063514710639,,,,,,
4,CD,nrmse_scaled_12lead,184.0,0.026227581822735064,0.7237851785294649,,,,,,
4,CD,corr_meanlead_12lead,184.0,-0.23410837780046614,0.0013813165818649523,,,,,,
AGG_5SEED,CD,corr_meanlead_12lead,,,,-0.2873575928030668,0.03114595761501447,-0.30002504286182113,-0.30928897536167665,-0.23410837780046614,5.0
AGG_5SEED,CD,nrmse_scaled_12lead,,,,0.07627246633661458,0.028727344622117613,0.09073992024811696,0.026227581822735064,0.0944270000577912,5.0
AGG_5SEED,MI,corr_meanlead_12lead,,,,-0.35051699473563735,0.035141037078319975,-0.3444023231860837,-0.40836647402151516,-0.3207269970244907,5.0
AGG_5SEED,MI,nrmse_scaled_12lead,,,,0.23142438200961318,0.03356595030901694,0.21334186884870676,0.2060661764705882,0.2833357175555047,5.0
AGG_5SEED,NORM,corr_meanlead_12lead,,,,0.12502158909536643,0.04763356987204217,0.11878341785357913,0.07790722551759882,0.2019091391907052,5.0
AGG_5SEED,NORM,nrmse_scaled_12lead,,,,-0.1464327132425837,0.036824683563547365,-0.15291636770138445,-0.19316616462435854,-0.09145740046093437,5.0
AGG_5SEED,STTC,corr_meanlead_12lead,,,,0.05934300039669084,0.036428862462108275,0.055047732024973324,0.016997588102831408,0.10304774557257898,5.0
AGG_5SEED,STTC,nrmse_scaled_12lead,,,,-0.059721317284500995,0.03163957786970366,-0.04456019180022701,-0.10468192550425671,-0.03389653270201492,5.0
