test,seed,variant,n_features,note,macro_auroc,macro_auprc,macro_f1,balanced_accuracy,recall_NORM,recall_MI,recall_STTC,recall_CD,auroc_NORM,auroc_MI,auroc_STTC,auroc_CD,MI_to_NORM,MI_support,metric,difference,ci_lo,ci_hi,crosses_zero,bootstrap_unit,n_boot
T1_variant,42,C5,71.0,locked submitted model (47 theta + 16 rep + 6 ST_projected + 2 stab),0.9014108235762696,0.7759464655044654,0.695127920842443,0.6542215786459613,0.9342105263157896,0.48828125,0.6074380165289256,0.5869565217391305,0.8994395354221331,0.8770290312032885,0.9302655386571472,0.89890918902251,97.0,256.0,,,,,,,
T1_variant,42,C5_obs,71.0,oracle: the 6 reconstruction-ECG descriptors in C5 swapped for obs_ twins,0.9045354610899506,0.7796523038861206,0.7126855208895004,0.6726540719401473,0.9385964912280702,0.50390625,0.6611570247933884,0.5869565217391305,0.9044059011164276,0.8799630979073244,0.936968189153504,0.896804656182547,93.0,256.0,,,,,,,
T1_variant,42,C5_drop,65.0,the same 6 descriptors deleted (no replacement),0.9012191362243216,0.7759236520032904,0.7048168574147504,0.6622773096939596,0.9407894736842104,0.49609375,0.6198347107438017,0.592391304347826,0.8983124967844832,0.8763604727204783,0.9310785368477676,0.8991250385445575,96.0,256.0,,,,,,,
T1_variant,42,REC37_only,37.0,"descriptor-only head, 37 reconstruction-domain descriptors",0.8523888494210313,0.6825244127187995,0.6230798569189734,0.5840243779195113,0.9375,0.328125,0.5867768595041323,0.483695652173913,0.8623630189844113,0.7870217909192825,0.9116429898772556,0.848527597903176,127.0,256.0,,,,,,,
T1_variant,42,OBS37_only,37.0,"descriptor-only head, the 37 observation-domain twins",0.8413598866412461,0.6703282541187523,0.6222006879972493,0.5878492861873625,0.9385964912280702,0.30078125,0.6446280991735537,0.4673913043478261,0.8604112002881102,0.7600838471599403,0.9166951929189692,0.8282493061979648,132.0,256.0,,,,,,,
T1_variant,42,C5_plus_OBS37,108.0,"supplementary, NOT dimension-matched: C5 augmented with all 37 obs twins",0.9067786415654736,0.7877957760384976,0.7259995883620911,0.6839066752695722,0.9418859649122808,0.51953125,0.6818181818181818,0.592391304347826,0.9069558059371302,0.8781063153961135,0.9391962932172722,0.9028561517113782,97.0,256.0,,,,,,,
T1_paired_delta,42,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0031246375136809,-2.128021439767844e-06,0.006119347020656,True,patient,1000.0
T1_paired_delta,42,C5_obs_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0184324932941859,0.0050277637162437,0.0325506534973866,False,patient,1000.0
T1_paired_delta,42,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0175576000470574,0.0034196973294659,0.0327560575588215,False,patient,1000.0
T1_paired_delta,42,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,-0.000191687351948,-0.0029454780880845,0.0024802340096029,True,patient,1000.0
T1_paired_delta,42,C5_drop_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0080557310479982,-0.0056427615123695,0.0211474044894346,True,patient,1000.0
T1_paired_delta,42,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.0096889365723074,-0.0038512150740708,0.0221649507318208,True,patient,1000.0
T1_paired_delta,42,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_auroc,-0.0110289627797852,-0.0232909210260659,0.0026274464982386,True,patient,1000.0
T1_paired_delta,42,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,balanced_accuracy,0.0038249082678512,-0.0182078306916851,0.0274020435646117,True,patient,1000.0
T1_paired_delta,42,OBS37_only_minus_REC37_only,,,,,,,,,,,,,,,,,macro_f1,-0.0008791689217241,-0.0234789917729599,0.024253478983481,True,patient,1000.0
T1_paired_delta,42,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0053678179892038,0.0009007833706744,0.0101305090285897,False,patient,1000.0
T1_paired_delta,42,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0296850966236108,0.015387016069547,0.0452333055993276,False,patient,1000.0
T1_paired_delta,42,C5_plus_OBS37_minus_C5,,,,,,,,,,,,,,,,,macro_f1,0.030871667519648,0.0154631652961567,0.0480900074100502,False,patient,1000.0
T1_variant,1,C5,71.0,locked submitted model (47 theta + 16 rep + 6 ST_projected + 2 stab),0.902341113552184,0.7724664725089414,0.6927706906782376,0.6541286694337015,0.9298245614035088,0.44140625,0.6528925619834711,0.592391304347826,0.8976058869681535,0.8888032511210762,0.9305100493911682,0.892445266728338,107.0,256.0,,,,,,,
T1_variant,1,C5_obs,71.0,oracle: the 6 reconstruction-ECG descriptors in C5 swapped for obs_ twins,0.9069791117048376,0.7796295715040816,0.6923880243924505,0.6577844425506364,0.930921052631579,0.421875,0.6859504132231405,0.592391304347826,0.9051310001543448,0.890963658445441,0.9385208323145386,0.8933009559050262,108.0,256.0,,,,,,,
T1_variant,1,C5_drop,65.0,the same 6 descriptors deleted (no replacement),0.9052796201722664,0.777984182777729,0.6871507381378897,0.6470321342750629,0.9375,0.42578125,0.6487603305785123,0.5760869565217391,0.9014202937696146,0.8928817498131539,0.9324477969582864,0.894368640148011,108.0,256.0,,,,,,,
T1_variant,1,REC37_only,37.0,"descriptor-only head, 37 reconstruction-domain descriptors",0.8537163388024972,0.6841785321400494,0.6274707422668819,0.5904989224698356,0.9210526315789472,0.35546875,0.5909090909090909,0.4945652173913043,0.8624707387971395,0.7915878409940209,0.9119669665998336,0.8488398088189947,117.0,256.0,,,,,,,
T1_variant,1,OBS37_only,37.0,"descriptor-only head, the 37 observation-domain twins",0.8427515950681685,0.6720587365432348,0.6252043234795935,0.5908354690386022,0.9385964912280702,0.30859375,0.6487603305785123,0.4673913043478261,0.8624128594947781,0.7640601644245142,0.9182845126901072,0.8262488436632747,129.0,256.0,,,,,,,
T1_variant,1,C5_plus_OBS37,108.0,"supplementary, NOT dimension-matched: C5 augmented with all 37 obs twins",0.9112119993599216,0.7876035746853746,0.7050705878342269,0.667886921928879,0.9364035087719298,0.46875,0.7066115702479339,0.5597826086956522,0.9097934995112412,0.8919562780269059,0.9404463543449556,0.9026518655565834,102.0,256.0,,,,,,,
T1_paired_delta,1,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0046379981526536,0.0016018770638393,0.0075223860130921,False,patient,1000.0
T1_paired_delta,1,C5_obs_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,0.0036557731169348,-0.0091067647295377,0.0163766703715804,True,patient,1000.0
T1_paired_delta,1,C5_obs_minus_C5,,,,,,,,,,,,,,,,,macro_f1,-0.000382666285787,-0.0139666092965696,0.0144761091163762,True,patient,1000.0
T1_paired_delta,1,C5_drop_minus_C5,,,,,,,,,,,,,,,,,macro_auroc,0.0029385066200824,0.0005237137243926,0.0054265739243479,False,patient,1000.0
T1_paired_delta,1,C5_drop_minus_C5,,,,,,,,,,,,,,,,,balanced_accuracy,-0.0070965351586386,-0.0192525432515868,0.0051716444556927,True,patient,1000.0
