rank_by_mean_pearson_r,pair,family,aggregation,unit,n_fold10,pearson_r_mean,pearson_r_sd,spearman_rho_mean,spearman_rho_sd,ba_bias_mean,ba_bias_sd,ba_sd_diff_mean,ba_sd_diff_sd,ba_loa_lower_mean,ba_loa_lower_sd,ba_loa_upper_mean,ba_loa_upper_sd,ba_loa_width_mean,ba_loa_width_sd,ba_bias_over_obs_sd_mean,ba_bias_over_obs_sd_sd,ba_loa_width_over_obs_sd_mean,ba_loa_width_over_obs_sd_sd,ba_prop_bias_slope_mean,ba_prop_bias_slope_sd,recon_mean_mean,recon_mean_sd,recon_sd_mean,recon_sd_sd,obs_mean_mean,obs_mean_sd,obs_sd_mean,obs_sd_sd,pearson_r_s42,pearson_r_s1,pearson_r_s2,pearson_r_s3,pearson_r_s4,pearson_r_min,pearson_r_max,domain,fidelity_band,pearson_minus_spearman,recon_over_obs_mean
1,STslope_std,STslope,std,mV/sample,1594.0,0.951503820779788,0.0066350569603403,0.7799828138675966,0.0383560465068224,-0.0012687664911896,0.0005258241492851,0.0065955414717146,0.0005025488849119,-0.0141960277757503,0.0012998575435052,0.0116584947933709,0.0008965411019101,0.0258545225691213,0.0019699916288547,-0.063634297248143,0.026372425854728,1.296719597969237,0.0988038648225591,-0.1920266516798498,0.0311120909970432,0.0083209441731202,0.0005258241492851,0.0165283582801648,0.000496503053529,0.0095897106643098,0.0,0.0199384065835138,0.0,0.9477580884828012,0.9462023068849784,0.95826286313943,0.9461035827198964,0.9591922626718334,0.9461035827198964,0.9591922626718334,voltage,A_faithful,0.1715210069121914,0.8676950185878297
2,Tabsarea_mean,Tabsarea,mean,mV*s,1594.0,0.9512976458261712,0.0077318558536365,0.9584773664984204,0.0064346105598872,-0.0007034500957214,0.0007000681785244,0.0031811202924614,0.000259249255981,-0.0069384458689459,0.000574320236124,0.0055315456775029,0.0010801557319989,0.0124699915464488,0.0010162570834457,-0.068215204115406,0.0678872516802573,1.209244300103454,0.0985488306883856,-0.039858449328523,0.0225573724871187,0.0219222326270514,0.0007000681785244,0.0099203479628292,0.000220148879905,0.0226256827227728,0.0,0.0103122185859234,0.0,0.948728439228968,0.953181472744439,0.9502045402536728,0.9415520314081582,0.9628217454956178,0.9415520314081582,0.9628217454956178,voltage,A_faithful,-0.007179720672249257,0.9689092212446975
3,STslope_range,STslope,range,mV/sample,1594.0,0.9341909904382856,0.0095577870236459,0.7625304379643085,0.0441737591274014,-0.006024738609086,0.0016219718070035,0.0241759331122293,0.0017957528314675,-0.0534095675090556,0.0046054519680434,0.0413600902908835,0.0029711326468962,0.0947696577999391,0.0070393510993526,-0.0945564025758783,0.0254563441007148,1.4873803655804878,0.1104804307060739,-0.2258231481635544,0.0334788874491182,0.0261099746802343,0.0016219718070035,0.0511896333615518,0.001635842779522,0.0321347132893203,0.0,0.0637158187596169,0.0,0.9305929441592607,0.927735217259744,0.9444665262042434,0.9239516819470304,0.9442085826211482,0.9239516819470304,0.9444665262042434,voltage,A_faithful,0.17166055247397705,0.8125161860059829
4,STmean_mean,STmean,mean,mV,1594.0,0.9297776577639189,0.0174815654810847,0.8808258757274186,0.0287814002341212,-0.0034173104504102,0.0023390826367538,0.0101122140908217,0.0011771395894732,-0.0232372500684209,0.002869953899383,0.0164026291676003,0.0036540750336513,0.0396398792360212,0.0046143871907353,-0.1245774784324218,0.0852708646054884,1.4450651388715203,0.1682167099169044,-0.1110999603599732,0.0318021370110617,-0.0258988305969465,0.0023390826367538,0.0246472583888456,0.0007662664473448,-0.0224815201465362,0.0,0.027431205811924,0.0,0.9240539100062324,0.9502183578444016,0.9222626637258856,0.907610206399484,0.9447431508435902,0.907610206399484,0.9502183578444016,voltage,A_faithful,0.0489517820365003,1.1520053105010701
5,STmean_std,STmean,std,mV,1594.0,0.9277648004656524,0.0079083620068297,0.8820974625066386,0.0229901250149982,-0.0031156187591593,0.0027984274145419,0.014395321601601,0.0007623367098789,-0.0313304490982973,0.0040721643810454,0.0250992115799786,0.0018828214723581,0.0564296606782759,0.0029883599027254,-0.0819959908216633,0.0736482369427583,1.4851001668426047,0.0786468275155132,-0.145141366373647,0.0494438845460787,0.0560670883713299,0.0027984274145419,0.0330567303242812,0.0015656393284935,0.0591827071304893,0.0,0.0379972084968842,0.0,0.9176756837406232,0.930399294330593,0.9276565815494826,0.9240352984707916,0.9390571442367708,0.9176756837406232,0.9390571442367708,voltage,A_faithful,0.04566733795901379,0.947355926921526
6,Tarea_std,Tarea,std,mV*s,1594.0,0.9222016831419556,0.0085855582209765,0.8814300671304178,0.0220731971766573,-0.0026870571218193,0.0006864657197564,0.0040034726693727,0.0002152565781689,-0.0105338635537899,0.0008385395774422,0.0051597493101512,0.000771573618305,0.0156936128639411,0.0008438057864222,-0.2607781246847979,0.0666213016481318,1.5230606372137176,0.0818911100901328,-0.0570298174940387,0.03733285022829,0.0128903204319447,0.0006864657197564,0.0097585602502346,0.0003496657421836,0.0155773775537641,0.0,0.0103039974118502,0.0,0.9170258281752152,0.9240742866645472,0.910340669204494,0.927675499280753,0.9318921323847686,0.910340669204494,0.9318921323847686,voltage,A_faithful,0.04077161601153778,0.827502600322472
7,STslope_mean,STslope,mean,mV/sample,1594.0,0.9208831565819812,0.0052376174018218,0.789561110675195,0.0185600322560135,-0.0009672563483327,0.0008460077769008,0.0039993068708996,0.0001144156478107,-0.0088058978152961,0.0007335610810898,0.0068713851186306,0.000996958761051,0.0156772829339267,0.0004485093394179,-0.0950409320046796,0.0831272575656525,1.5404226438107913,0.044069750180045,-0.0744654224443784,0.0620493511434152,0.0044365889689098,0.0008460077769008,0.0094885520434,0.0005864381420987,0.0054038453172425,0.0,0.0101772607647102,0.0,0.9130951346797324,0.9250291681720734,0.924709773236558,0.9178559077413876,0.9237257990801552,0.9130951346797324,0.9250291681720734,voltage,A_faithful,0.1313220459067862,0.8210059149460858
8,Tarea_mean,Tarea,mean,mV*s,1594.0,0.9151087721768444,0.010863605212334,0.9319599729154588,0.0171069833797073,-0.0033084646129389,0.0009475223817759,0.0034417673052427,0.0001800512706059,-0.0100543285312147,0.0008712902958755,0.0034373993053367,0.0011338112984432,0.0134917278365515,0.0007058009807753,-0.3942095803224572,0.1128990163610137,1.6075639278327318,0.0840974714780108,-0.1834647901489013,0.0096502078435541,0.0075294037773458,0.0009475223817759,0.0070370505020551,6.760653297851111e-05,0.0108378683902848,0.0,0.0083926540045848,0.0,0.9006389942915376,0.9193702449995156,0.924220429091042,0.9066873292566946,0.9246268632454326,0.9006389942915376,0.9246268632454326,voltage,A_faithful,-0.016851200738614458,0.6947310583781633
9,Tabsarea_std,Tabsarea,std,mV*s,1594.0,0.913979866565476,0.0121230574908685,0.8998029242794863,0.0180550944670594,-0.0001838321845169,0.0007300801478025,0.0035955267814548,0.0002508071669915,-0.0072310646761684,0.0010230889214431,0.0068634003071345,0.000708963272471,0.0140944649833029,0.0009831640946067,-0.0208347532014605,0.0827441600431504,1.5974063530028235,0.1114276116638385,-0.0508335729971778,0.0268295290928127,0.0136781864582685,0.0007300801478025,0.0084062879577692,0.0002162599492763,0.0138620186427854,0.0,0.0088233435135699,0.0,0.9109244458804902,0.9263130003151,0.9067008538558488,0.899352404257565,0.926608628518375,0.899352404257565,0.926608628518375,voltage,A_faithful,0.014176942285989758,0.986738426108482
10,STslope_maxabs,STslope,maxabs,mV/sample,1594.0,0.9004090030372287,0.0130445599187939,0.787015642530046,0.0280237640358008,-0.0037987385552275,0.0017584188162347,0.0185811108750517,0.0011125810389897,-0.0402177158703289,0.0033106161369009,0.0326202387598739,0.0021758768766592,0.0728379546302029,0.0043613176728397,-0.0906906517259047,0.0419802905972492,1.7389250351816756,0.1041216015219701,-0.2191207559433833,0.0317548538119821,0.0190580483250903,0.0017584188162347,0.0339977420621742,0.0010270864342039,0.0228567868803178,0.0,0.041886770939837,0.0,0.8887140667810317,0.8985130492587521,0.914376593664471,0.8870846057797208,0.9133566997021678,0.8870846057797208,0.914376593664471,voltage,A_faithful,0.11339336050718274,0.8338025998527978
