feature_group,n_features,classifier,strategy,label,n_pos,n_test,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,val_macro_auroc,bootstrap_unit,n_boot,n_patients_test
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",MACRO,2792,2158,,0.8785502179786185,0.8685009860645512,0.8875432417306746,0.7194183729074193,0.7007236970910597,0.7374922239909673,0.8884042076723813,patient,1000,1877
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",NORM,963,2158,0.4462465245597776,0.9077994586304132,0.8944871254889167,0.9199426871985537,0.8740108944349796,0.8499009539209817,0.8938805745242547,,patient,1000,1877
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",MI,550,2158,0.2548656163113994,0.8512799638172773,0.829299821295494,0.8710827855958212,0.6836103415195751,0.6365525495803399,0.7260525534056338,,patient,1000,1877
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",STTC,521,2158,0.24142724745134383,0.9015625934337544,0.8852720736230424,0.9153549084319598,0.7263703638519863,0.6813215603154541,0.7712030782481546,,patient,1000,1877
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",CD,496,2158,0.22984244670991658,0.8681085264547184,0.8452669511300345,0.8880611993743834,0.7657763321908073,0.7273651711990577,0.8001066940061734,,patient,1000,1877
C0_theta,47,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",HYP,262,2158,0.12140871177015755,0.8640005475569299,0.838047475069452,0.8862315923284084,0.5473239325397484,0.4896514614647952,0.6026521231220517,,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",MACRO,2792,2158,,0.8941376572231488,0.8849874442629284,0.9023113108455053,0.7624447427014301,0.7440423119443603,0.7801607702235768,0.9010151369774771,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",NORM,963,2158,0.4462465245597776,0.9161441972218962,0.9031124420503608,0.9273744757350704,0.8853955709823769,0.8617119432270991,0.9034122372044454,,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",MI,550,2158,0.2548656163113994,0.8700395748530075,0.8506743404507424,0.8875219918085767,0.7272334454917913,0.684610610964062,0.7651672262542631,,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",STTC,521,2158,0.24142724745134383,0.9173667480773898,0.9031325032788273,0.9306530472287122,0.7868724040496298,0.7435049013221705,0.8237241220410825,,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",CD,496,2158,0.22984244670991658,0.8783723457940298,0.8564380546289893,0.8977383340645672,0.7923129191274128,0.7557458232848367,0.8230696899788805,,patient,1000,1877
C0_theta,47,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",HYP,262,2158,0.12140871177015755,0.8887654201694204,0.8680590435950996,0.9075055976195092,0.6204093738559399,0.5650284604600024,0.6759726350792139,,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",MACRO,2792,2158,,0.8815558138112051,0.8717963607373097,0.8903656968016085,0.7262105089003024,0.7073837142424884,0.7449245178822703,0.8922289333473831,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",NORM,963,2158,0.4462465245597776,0.913230533939876,0.9005182360127536,0.9247435135155695,0.8802803872224783,0.8581294761825903,0.8994473986303475,,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",MI,550,2158,0.2548656163113994,0.8567944369063772,0.8358981896211444,0.8753763948839012,0.6918604135175116,0.6463506660387353,0.7320480715446511,,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",STTC,521,2158,0.24142724745134383,0.9080910846464378,0.8929334683126072,0.9214301608114237,0.7528936949462817,0.7095284614534944,0.7924098485551503,,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",CD,496,2158,0.22984244670991658,0.8673212414114359,0.8442239091752551,0.8875245596758813,0.7655089186506393,0.7276037379361331,0.7991894531770528,,patient,1000,1877
C5_theta_rep_st_stab,71,logreg,"one-vs-rest (5 independent binary models, encoder frozen)",HYP,262,2158,0.12140871177015755,0.8623417721518988,0.8375654501701338,0.8840323625272409,0.5405091301646009,0.48230973392810805,0.5982539744171718,,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",MACRO,2792,2158,,0.8929151715375634,0.8834444784636256,0.9015291777538741,0.7629456237148085,0.7448141835784614,0.7799875542436501,0.9017295472356184,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",NORM,963,2158,0.4462465245597776,0.9180246527370447,0.9052159725471429,0.9295045700420126,0.8885831948820384,0.865906816421747,0.9059904321272608,,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",MI,550,2158,0.2548656163113994,0.8680076888285844,0.848601910250739,0.8859092344171592,0.7271403752088824,0.6836580877962107,0.7648281324257585,,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",STTC,521,2158,0.24142724745134383,0.9165542041818457,0.9020637889321961,0.9292365172937985,0.7909698723253942,0.751242146512652,0.8267763290403676,,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",CD,496,2158,0.22984244670991658,0.873932494856566,0.8506478472597055,0.8943284308568514,0.7879242910963384,0.7505010624675748,0.8199169969395732,,patient,1000,1877
C5_theta_rep_st_stab,71,xgboost,"one-vs-rest (5 independent binary models, encoder frozen)",HYP,262,2158,0.12140871177015755,0.8880568170837762,0.8674075472163623,0.9072226018338276,0.620110385061389,0.5639954160060827,0.6762194314305587,,patient,1000,1877
