lead_set,group,crb_group_mean_recomputed,crb_group_mean_frozen,abs_diff,rel_diff
L12,delta_root,0.07287560223567734,0.0728756022356773,4.163336342344337e-17,5.712935762616746e-16
L12,edge_prox,0.2657770999328013,0.2657770999328013,0.0,0.0
L12,edge_leaf,0.29698669830486835,0.2969866983048683,5.551115123125783e-17,1.8691460441865815e-16
L12,APD,0.20820102950616245,0.2082010295061624,5.551115123125783e-17,2.6662284698075806e-16
L12,tau_dep,0.19342927825287065,0.1934292782528706,5.551115123125783e-17,2.8698422355010783e-16
L12,tau_rep,0.26885307764768085,0.2688530776476808,5.551115123125783e-17,2.0647392887204572e-16
L12,q,0.05495413927638684,0.0549541392763868,4.163336342344337e-17,7.576019563158326e-16
L12,alpha_ST,3.392522130741213,3.392522130741213,0.0,0.0
L12,global_gain,0.06129623763217797,0.0612962376321779,7.632783294297951e-17,1.2452286778350434e-15
II+V1+V5,delta_root,0.10975230271164536,0.1097523027116453,6.938893903907228e-17,6.3223219308099085e-16
II+V1+V5,edge_prox,0.7087552392257764,0.7087552392257764,0.0,0.0
II+V1+V5,edge_leaf,0.935579617060497,0.935579617060497,0.0,0.0
II+V1+V5,APD,0.4169793266327506,0.4169793266327506,0.0,0.0
II+V1+V5,tau_dep,0.4399652007264514,0.4399652007264514,0.0,0.0
II+V1+V5,tau_rep,0.6069699454241071,0.6069699454241071,0.0,0.0
II+V1+V5,q,0.1092326199861133,0.1092326199861133,0.0,0.0
II+V1+V5,alpha_ST,7.0505010058180275,7.050501005818028,8.881784197001252e-16,1.2597380228259044e-16
II+V1+V5,global_gain,0.12002847414977101,0.120028474149771,1.3877787807814457e-17,1.156207966994383e-16
I+II+V5,delta_root,0.13931404539675932,0.1393140453967593,2.7755575615628914e-17,1.992302752861885e-16
I+II+V5,edge_prox,1.0162537346816196,1.0162537346816196,0.0,0.0
I+II+V5,edge_leaf,0.8889578460944018,0.8889578460944018,0.0,0.0
I+II+V5,APD,0.6392084185461651,0.6392084185461651,0.0,0.0
I+II+V5,tau_dep,0.6400558960016881,0.6400558960016881,0.0,0.0
I+II+V5,tau_rep,0.7863559619655291,0.7863559619655291,0.0,0.0
I+II+V5,q,0.15066504509952727,0.1506650450995272,8.326672684688674e-17,5.526612147620699e-16
I+II+V5,alpha_ST,8.303977690513902,8.303977690513902,0.0,0.0
I+II+V5,global_gain,0.17211080132648485,0.1721108013264848,5.551115123125783e-17,3.225314785790591e-16
II,delta_root,0.35956754163871235,0.3595675416387123,5.551115123125783e-17,1.5438309859190388e-16
II,edge_prox,3.9071251608194664,3.9071251608194655,8.881784197001252e-16,2.273227457893471e-16
II,edge_leaf,4.415604301187443,4.415604301187443,0.0,0.0
II,APD,2.9016410694926016,2.9016410694926016,0.0,0.0
II,tau_dep,2.767371961183193,2.767371961183193,0.0,0.0
II,tau_rep,4.259673960123809,4.259673960123809,0.0,0.0
II,q,1.0127767853093863,1.0127767853093863,0.0,0.0
II,alpha_ST,22.757212867540662,22.757212867540662,0.0,0.0
II,global_gain,0.3907547035518314,0.3907547035518314,0.0,0.0
