lead_set,index,param,crb_scaled,identifiability_score,one_over_score,rel_diff_crb_vs_1_over_score
L12,0,delta_root,0.07287560223567734,13.722013531579917,0.07287560223567734,0.0
L12,1,edge_prox0,0.10005480550737582,9.994522451260796,0.10005480550737582,0.0
L12,2,edge_prox1,0.4314993943582268,2.3175003559096754,0.4314993943582268,0.0
L12,3,edge_leaf0,0.2986836969322726,3.3480233781449176,0.2986836969322726,0.0
L12,4,edge_leaf1,0.2964478029091515,3.3732751269755807,0.2964478029091515,0.0
L12,5,edge_leaf2,0.295839406125685,3.3802123019918384,0.295839406125685,0.0
L12,6,edge_leaf3,0.29692178504896916,3.367890300925805,0.29692178504896916,0.0
L12,7,edge_leaf4,0.2970408005082634,3.3665408869384623,0.2970408005082634,0.0
L12,8,APD0,0.7154082551849151,1.3978032721212101,0.7154082551849151,0.0
L12,9,APD1,0.34100328798809065,2.932523043692542,0.34100328798809065,0.0
L12,10,APD2,0.33916865252531364,2.948385685276046,0.33916865252531364,0.0
L12,11,APD3,0.038652939805704487,25.871253390470905,0.038652939805704487,0.0
L12,12,APD4,0.023534613901771487,42.490605716915056,0.023534613901771483,1.4741890249121375e-16
L12,13,APD5,0.06380010472886281,15.673955462139007,0.06380010472886281,0.0
L12,14,APD6,0.1038687805897416,9.627531914038501,0.1038687805897416,0.0
L12,15,APD7,0.04017160132489962,24.893207316088954,0.04017160132489962,0.0
L12,16,tau_dep0,0.3742817989480517,2.6717836742544745,0.3742817989480517,0.0
L12,17,tau_dep1,0.4280439685998953,2.3362085985487346,0.4280439685998953,0.0
L12,18,tau_dep2,0.5957439430964357,1.6785735072729484,0.5957439430964357,0.0
L12,19,tau_dep3,0.03806206063456967,26.27288127148206,0.03806206063456967,0.0
L12,20,tau_dep4,0.0338019918713351,29.584055395505377,0.0338019918713351,0.0
L12,21,tau_dep5,0.01978236825496343,50.55006494225474,0.01978236825496343,0.0
L12,22,tau_dep6,0.03426480651265978,29.184463645826547,0.03426480651265978,0.0
L12,23,tau_dep7,0.023453288105054662,42.637944646425915,0.023453288105054662,0.0
L12,24,tau_rep0,0.6451025580251181,1.550141117191266,0.6451025580251181,0.0
L12,25,tau_rep1,0.23172766113264273,4.315410577710842,0.23172766113264273,0.0
L12,26,tau_rep2,0.7188574560647871,1.3910963732285122,0.7188574560647871,0.0
L12,27,tau_rep3,0.08326828600659932,12.009374132196577,0.08326828600659932,0.0
L12,28,tau_rep4,0.056329100448621494,17.75281323571132,0.056329100448621494,0.0
L12,29,tau_rep5,0.12927315601519096,7.735558029406271,0.12927315601519096,0.0
L12,30,tau_rep6,0.20670559447383846,4.837798427978998,0.20670559447383846,0.0
L12,31,tau_rep7,0.07956080901464851,12.569002406899642,0.07956080901464851,0.0
L12,32,q0,0.08529872163303898,11.723505122410502,0.08529872163303898,0.0
L12,33,q1,0.03355260838793087,29.803942168612668,0.03355260838793087,0.0
L12,34,q2,0.027602015678087642,36.22923817095967,0.027602015678087642,0.0
L12,35,q3,0.04151262091446736,24.089059615397467,0.04151262091446736,0.0
L12,36,q4,0.09226453429477417,10.838400774940448,0.09226453429477419,1.504130261306753e-16
L12,37,q5,0.0696954667033269,14.348135500070699,0.0696954667033269,0.0
L12,38,q6,0.05556420502908404,17.997198006820557,0.05556420502908403,1.2488064753693849e-16
L12,39,q7,0.03414294157038474,29.288630504742166,0.03414294157038474,0.0
