lead_set,group,n_params,crb_from_1_over_identifiability,crb_in_frozen_phase1_table,abs_diff,rel_diff
L12,delta_root,1,0.07288189219551522,0.0728756022356773,6.28995983792402e-06,8.631091400908766e-05
L12,edge_prox,2,0.26565918727281074,0.2657770999328013,0.00011791265999056,0.0004436524441736059
L12,edge_leaf,5,0.2968886854377351,0.2969866983048683,9.801286713317925e-05,0.00033002443440266564
L12,APD,8,0.20819866747627763,0.2082010295061624,2.3620298847670806e-06,1.1344948151167373e-05
L12,tau_dep,8,0.1934289962457773,0.1934292782528706,2.820070932885166e-07,1.4579338548730352e-06
L12,tau_rep,8,0.2688529270144214,0.2688530776476808,1.506332594214399e-07,5.602809561988264e-07
L12,q,8,0.05495411362980777,0.0549541392763868,2.5646579034088735e-08,4.6669057821289166e-07
L12,alpha_ST,6,3.392493185960772,3.392522130741213,2.8944780440909312e-05,8.531935629432529e-06
L12,global_gain,1,0.06129632780140059,0.0612962376321779,9.01692226926154e-08,1.4710400862398189e-06
L12(group-mean-score check),delta_root,1,13.7208292742643,13.7208292742643,0.0,0.0
L12(group-mean-score check),edge_prox,2,6.155782844332684,6.155782844332683,8.881784197001252e-16,1.4428358539610052e-16
L12(group-mean-score check),edge_leaf,5,3.368300051539717,3.368300051539717,0.0,0.0
L12(group-mean-score check),APD,8,15.729458561692635,15.729458561692637,1.7763568394002505e-15,1.1293184901649265e-16
L12(group-mean-score check),tau_dep,8,23.1145322232791,23.1145322232791,0.0,0.0
L12(group-mean-score check),tau_rep,8,7.770156948393059,7.770156948393059,0.0,0.0
L12(group-mean-score check),q,8,21.78978208508309,21.78978208508309,0.0,0.0
L12(group-mean-score check),alpha_ST,6,0.3216597763661903,0.3216597763661903,0.0,0.0
L12(group-mean-score check),global_gain,1,16.31419101059347,16.31419101059347,0.0,0.0
