statistic,threshold,n_tierA,members
min_across_seeds,5,21,APD3;APD4;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep3;tau_rep5;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
five_seed_mean,5,36,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD2;APD3;APD4;APD5;APD6;APD7;tau_dep1;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
min_across_seeds,8,18,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep3;tau_rep7;q1;q2;q3;q4;q5;q6;q7;global_gain
five_seed_mean,8,33,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD2;APD3;APD4;APD5;APD6;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep3;tau_rep4;tau_rep5;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
min_across_seeds,10,16,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2;q3;q4;q5;q6;q7;global_gain
five_seed_mean,10,30,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD2;APD3;APD4;APD5;APD6;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep3;tau_rep4;tau_rep5;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
min_across_seeds,12,10,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7;q1;q6;global_gain
five_seed_mean,12,26,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD3;APD4;APD5;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;tau_rep4;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
min_across_seeds,15,8,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7;global_gain
five_seed_mean,15,23,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD3;APD4;APD5;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2;q3;q4;q5;q6;q7;global_gain
min_across_seeds,18,6,APD3;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7
five_seed_mean,18,18,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD3;APD4;APD5;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2;q6
min_across_seeds,20,4,tau_dep3;tau_dep4;tau_dep5;tau_dep7
five_seed_mean,20,17,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD3;APD4;APD5;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2
min_across_seeds,25,1,tau_dep5
five_seed_mean,25,13,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf4;APD4;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2
