seed,noise_model,leads,D_logdet,n_precordial,rank
42,identity,I+II+V1,160.9698745177146,1,20
42,identity,I+II+V2,155.78251823393686,1,28
42,identity,I+II+V3,152.01348171261185,1,37
42,identity,I+II+V4,146.2489477947941,1,44
42,identity,I+II+V5,132.30152030019798,1,54
42,identity,I+II+V6,115.98712464451779,1,56
42,identity,I+V1+V2,161.10587106925865,2,19
42,identity,I+V1+V3,166.85774877568983,2,6
42,identity,I+V1+V4,170.6618040305142,2,1
42,identity,I+V1+V5,168.6611784336248,2,4
42,identity,I+V1+V6,164.6250259603055,2,9
42,identity,I+V2+V3,157.62150984844482,2,24
42,identity,I+V2+V4,163.2623638959217,2,13
42,identity,I+V2+V5,163.48919686061956,2,12
42,identity,I+V2+V6,161.11376961568317,2,18
42,identity,I+V3+V4,153.01172360751704,2,33
42,identity,I+V3+V5,157.57731292327125,2,25
42,identity,I+V3+V6,158.11839040590743,2,23
42,identity,I+V4+V5,148.08008066057738,2,39
42,identity,I+V4+V6,152.04223375570402,2,36
42,identity,I+V5+V6,136.73048994043523,2,51
42,identity,II+V1+V2,161.97512348465645,2,16
42,identity,II+V1+V3,162.52457630185748,2,15
42,identity,II+V1+V4,163.0834506630074,2,14
42,identity,II+V1+V5,160.67400737837426,2,22
42,identity,II+V1+V6,155.05305398611011,2,30
42,identity,II+V2+V3,141.68222277784028,2,48
42,identity,II+V2+V4,147.30179933113666,2,42
42,identity,II+V2+V5,152.2260401332947,2,35
42,identity,II+V2+V6,151.91025410835564,2,38
42,identity,II+V3+V4,137.1652886093414,2,50
42,identity,II+V3+V5,146.1106189644885,2,45
42,identity,II+V3+V6,147.9044825274689,2,40
42,identity,II+V4+V5,135.86136139880773,2,53
42,identity,II+V4+V6,140.50090595279457,2,49
42,identity,II+V5+V6,124.11562362384736,2,55
42,identity,V1+V2+V3,164.69230153124747,3,8
42,identity,V1+V2+V4,170.19349478367013,3,3
42,identity,V1+V2+V5,170.2157595582094,3,2
42,identity,V1+V2+V6,167.29107220144797,3,5
42,identity,V1+V3+V4,164.19725562943782,3,10
42,identity,V1+V3+V5,165.02233873821922,3,7
42,identity,V1+V3+V6,163.67327855280044,3,11
42,identity,V1+V4+V5,161.66922453169533,3,17
42,identity,V1+V4+V6,160.81514184924,3,21
42,identity,V1+V5+V6,157.39516681542824,3,26
42,identity,V2+V3+V4,146.2951941426373,3,43
42,identity,V2+V3+V5,154.33860503385995,3,31
