seed,noise_model,lead,bootstrap_inclusion_rate
42,identity,I,1.0
42,identity,II,0.0
42,identity,V1,1.0
42,identity,V2,0.0
42,identity,V3,0.0
42,identity,V4,1.0
42,identity,V5,0.0
42,identity,V6,0.0
42,empirical_sigma_inv,I,0.0
42,empirical_sigma_inv,II,0.0
42,empirical_sigma_inv,V1,0.0
42,empirical_sigma_inv,V2,1.0
42,empirical_sigma_inv,V3,1.0
42,empirical_sigma_inv,V4,0.0
42,empirical_sigma_inv,V5,1.0
42,empirical_sigma_inv,V6,0.0
42,empirical_sigma_inv_norm8,I,0.0
42,empirical_sigma_inv_norm8,II,0.0
42,empirical_sigma_inv_norm8,V1,0.0
42,empirical_sigma_inv_norm8,V2,1.0
42,empirical_sigma_inv_norm8,V3,1.0
42,empirical_sigma_inv_norm8,V4,0.0
42,empirical_sigma_inv_norm8,V5,1.0
42,empirical_sigma_inv_norm8,V6,0.0
1,identity,I,1.0
1,identity,II,0.0
1,identity,V1,1.0
1,identity,V2,0.0
1,identity,V3,0.0
1,identity,V4,0.0
1,identity,V5,1.0
1,identity,V6,0.0
1,empirical_sigma_inv,I,0.0
1,empirical_sigma_inv,II,0.0
1,empirical_sigma_inv,V1,0.0
1,empirical_sigma_inv,V2,1.0
1,empirical_sigma_inv,V3,0.0
1,empirical_sigma_inv,V4,1.0
1,empirical_sigma_inv,V5,1.0
1,empirical_sigma_inv,V6,0.0
1,empirical_sigma_inv_norm8,I,0.0
1,empirical_sigma_inv_norm8,II,0.0
1,empirical_sigma_inv_norm8,V1,0.0
1,empirical_sigma_inv_norm8,V2,1.0
1,empirical_sigma_inv_norm8,V3,0.0
1,empirical_sigma_inv_norm8,V4,1.0
1,empirical_sigma_inv_norm8,V5,1.0
1,empirical_sigma_inv_norm8,V6,0.0
2,identity,I,1.0
2,identity,II,0.0
2,identity,V1,1.0
2,identity,V2,0.0
2,identity,V3,0.0
2,identity,V4,0.0
2,identity,V5,1.0
2,identity,V6,0.0
2,empirical_sigma_inv,I,0.765
2,empirical_sigma_inv,II,0.0
2,empirical_sigma_inv,V1,0.235
2,empirical_sigma_inv,V2,1.0
2,empirical_sigma_inv,V3,0.0
2,empirical_sigma_inv,V4,1.0
2,empirical_sigma_inv,V5,0.0
2,empirical_sigma_inv,V6,0.0
2,empirical_sigma_inv_norm8,I,0.77
2,empirical_sigma_inv_norm8,II,0.0
2,empirical_sigma_inv_norm8,V1,0.23
2,empirical_sigma_inv_norm8,V2,1.0
2,empirical_sigma_inv_norm8,V3,0.0
2,empirical_sigma_inv_norm8,V4,1.0
2,empirical_sigma_inv_norm8,V5,0.0
2,empirical_sigma_inv_norm8,V6,0.0
3,identity,I,1.0
3,identity,II,0.0
3,identity,V1,1.0
3,identity,V2,0.0
3,identity,V3,0.0
3,identity,V4,1.0
3,identity,V5,0.0
3,identity,V6,0.0
3,empirical_sigma_inv,I,0.0
3,empirical_sigma_inv,II,0.0
3,empirical_sigma_inv,V1,1.0
3,empirical_sigma_inv,V2,1.0
3,empirical_sigma_inv,V3,0.0
3,empirical_sigma_inv,V4,1.0
3,empirical_sigma_inv,V5,0.0
3,empirical_sigma_inv,V6,0.0
3,empirical_sigma_inv_norm8,I,0.0
3,empirical_sigma_inv_norm8,II,0.0
3,empirical_sigma_inv_norm8,V1,1.0
3,empirical_sigma_inv_norm8,V2,1.0
3,empirical_sigma_inv_norm8,V3,0.0
3,empirical_sigma_inv_norm8,V4,1.0
3,empirical_sigma_inv_norm8,V5,0.0
3,empirical_sigma_inv_norm8,V6,0.0
4,identity,I,1.0
4,identity,II,0.0
4,identity,V1,1.0
4,identity,V2,0.0
4,identity,V3,0.0
4,identity,V4,0.0
4,identity,V5,1.0
4,identity,V6,0.0
4,empirical_sigma_inv,I,0.0
4,empirical_sigma_inv,II,0.0
4,empirical_sigma_inv,V1,0.0
4,empirical_sigma_inv,V2,1.0
4,empirical_sigma_inv,V3,0.0
4,empirical_sigma_inv,V4,1.0
4,empirical_sigma_inv,V5,1.0
4,empirical_sigma_inv,V6,0.0
4,empirical_sigma_inv_norm8,I,0.0
4,empirical_sigma_inv_norm8,II,0.0
4,empirical_sigma_inv_norm8,V1,0.0
4,empirical_sigma_inv_norm8,V2,1.0
4,empirical_sigma_inv_norm8,V3,0.0
4,empirical_sigma_inv_norm8,V4,1.0
4,empirical_sigma_inv_norm8,V5,1.0
4,empirical_sigma_inv_norm8,V6,0.0
