seed,evaluated_under,identity_optimum,empirical_optimum,logdet_identity_optimum,logdet_empirical_optimum,rank_of_identity_optimum_of_56,rank_of_empirical_optimum_of_56,delta_emp_minus_id,boot_delta_mean,boot_delta_ci_lo,boot_delta_ci_hi,boot_delta_crosses_zero,same_set
42,identity,I+V1+V4,V2+V3+V5,170.6618040305142,154.33860503385995,1,31,-16.32319899665424,-16.376649128134282,-16.743228739064392,-16.044082488082527,False,False
42,empirical_sigma_inv,I+V1+V4,V2+V3+V5,163.08133373417394,181.168154756215,27,1,18.08682102204105,18.03663607839871,17.646303593603278,18.40735919431006,False,False
1,identity,I+V1+V5,V2+V4+V5,191.93213821162965,170.73244207559446,1,32,-21.199696136035186,-21.23781670908781,-21.478522161618926,-21.012651120201845,False,False
1,empirical_sigma_inv,I+V1+V5,V2+V4+V5,182.43579758581228,195.99808811991284,24,1,13.562290534100555,13.537802865421709,13.310459629930374,13.760712814860241,False,False
2,identity,I+V1+V5,I+V2+V4,178.5091142734301,168.1141422282861,1,16,-10.394972045143987,-10.386641922508838,-10.548245836178207,-10.203400231495301,False,False
2,empirical_sigma_inv,I+V1+V5,I+V2+V4,163.88744590746,182.05223181601113,27,1,18.164785908551124,18.151676873821376,17.95485313468471,18.379770748690934,False,False
3,identity,I+V1+V4,V1+V2+V4,184.54743371284948,179.45139836624523,1,5,-5.096035346604253,-5.1177593519943185,-5.278047190431968,-4.940918747641396,False,False
3,empirical_sigma_inv,I+V1+V4,V1+V2+V4,173.9497514980159,187.77981033978295,22,1,13.830058841767055,13.800463598795012,13.617492902934249,13.99688777215155,False,False
4,identity,I+V1+V5,V2+V4+V5,185.48127743078572,166.8031186130745,1,28,-18.67815881771122,-18.69309630638558,-18.92773520375389,-18.489385700596266,False,False
4,empirical_sigma_inv,I+V1+V5,V2+V4+V5,175.25290868167022,192.29223772126375,29,1,17.039329039593525,17.010575799691868,16.713008561810252,17.26257242618801,False,False
