seed,field,frozen_value,recomputed_value,abs_diff,rel_diff,match
42,optimal3_leads,I+V1+V4,I+V1+V4,,,True
42,optimal3_logdet,170.6551040375279,170.6618040305142,0.006699992986284542,3.926043128959788e-05,True
42,clinical_logdet,160.67890509223994,160.67400737837426,0.004897713865688047,3.048137440864715e-05,True
42,gap_lambda,9.97619894528799,9.987796652139934,0.011597706851944167,0.0011625376474094931,False
42,boot_gap_mean,10.001973736131744,10.005746911768798,0.003773175637054038,0.000377243105870553,True
42,boot_ci_lo,9.806324097368195,9.811839545862913,0.005515448494717745,0.0005624379165887421,False
42,boot_ci_hi,10.213507057463058,10.212759136820956,0.0007479206421017182,7.322858229732254e-05,True
1,optimal3_leads,I+V1+V5,I+V1+V5,,,True
1,optimal3_logdet,191.93155820420856,191.93213821162965,0.0005800074210924322,3.021949212100515e-06,True
1,clinical_logdet,183.89278334251077,183.89336876387492,0.0005854213641498518,3.1834928674687097e-06,True
1,gap_lambda,8.038774861697817,8.038769447754731,5.413943085841311e-06,6.734786306352492e-07,True
1,boot_gap_mean,8.04896613076531,8.04914592673488,0.00017979596957040656,2.2337771913734124e-05,True
1,boot_ci_lo,7.934980572929803,7.935071519605751,9.094667594844452e-05,1.1461486907568398e-05,True
1,boot_ci_hi,8.164214968115683,8.164351631869971,0.00013666375428833533,1.6739362550111487e-05,True
2,optimal3_leads,I+V1+V5,I+V1+V5,,,True
2,optimal3_logdet,178.51201459590723,178.5091142734301,0.002900322477131567,1.6247211615962924e-05,True
2,clinical_logdet,171.53783750585706,171.535508325869,0.0023291799880666986,1.357822869830203e-05,True
2,gap_lambda,6.974177090050176,6.973605947561111,0.0005711424890648686,8.189388965756238e-05,True
2,boot_gap_mean,6.98785302892456,6.987584905584717,0.00026812333984338466,3.8369916873401846e-05,True
2,boot_ci_lo,6.861631410429222,6.861827399831645,0.0001959894024228248,2.8563091005578352e-05,True
2,boot_ci_hi,7.138967434574161,7.138843946780881,0.00012348779327986392,1.7297710685975412e-05,True
3,optimal3_leads,I+V1+V4,I+V1+V4,,,True
3,optimal3_logdet,184.5482027001121,184.54743371284948,0.0007689872626315264,4.166864002902908e-06,True
3,clinical_logdet,173.7451549067575,173.74437845585805,0.0007764508994512198,4.468906772496256e-06,True
3,gap_lambda,10.80304779335458,10.803055256991428,7.463636848115129e-06,6.908825167566447e-07,True
3,boot_gap_mean,10.818608274798873,10.817447896537859,0.0011603782610141167,0.00010725762792587008,True
3,boot_ci_lo,10.657823952455455,10.659169733775112,0.0013457813196566804,0.00012627167850212293,True
3,boot_ci_hi,10.955913724049816,10.953597570665774,0.002316153384041897,0.00021140668340218898,True
4,optimal3_leads,I+V1+V5,I+V1+V5,,,True
4,optimal3_logdet,185.48136760554405,185.48127743078572,9.017475832706623e-05,4.861661281193341e-07,True
4,clinical_logdet,176.83663499556138,176.83643229585164,0.00020269970974595708,1.1462540539240914e-06,True
4,gap_lambda,8.644732609982668,8.644845134934087,0.00011252495141889085,1.3016591315843655e-05,True
4,boot_gap_mean,8.64069078404904,8.64076987035288,7.90863038400147e-05,9.152775607479236e-06,True
4,boot_ci_lo,8.517143711892626,8.517381333304892,0.00023762141226590927,2.7899190186742374e-05,True
4,boot_ci_hi,8.758205448565121,8.757896129455224,0.00030931910989728806,3.531763575470413e-05,True
