seed,noise_model,rank,leads,D_logdet,A_trace_inv,E_lambda_min,n_precordial,contains_II,delta_logdet_vs_rank1,delta_logdet_vs_clinical
42,identity,1,I+V1+V4,170.6618040305142,254.36704016298017,0.006975613388489527,2,False,0.0,9.987796652139934
42,identity,2,V1+V2+V5,170.2157595582094,268.4364962607971,0.0070216312158954495,3,False,-0.4460444723047772,9.541752179835157
42,identity,3,V1+V2+V4,170.19349478367013,268.01674059031956,0.006863970064839483,3,False,-0.4683092468440577,9.519487405295877
42,identity,4,I+V1+V5,168.6611784336248,263.8065738537447,0.006971302730710765,2,False,-2.0006255968893925,7.987171055250542
42,identity,5,V1+V2+V6,167.29107220144797,290.0658491312295,0.006316662905703954,3,False,-3.370731829066216,6.617064823073719
42,identity,22,II+V1+V5 (clinical),160.67400737837426,330.66755068540783,0.006224264410379257,2,True,-9.987796652139934,0.0
42,empirical_sigma_inv,1,V2+V3+V5,181.168154756215,255.40950736562772,0.007532489869227272,3,False,0.0,32.38202956035667
42,empirical_sigma_inv,2,V2+V4+V5,180.89797930049295,242.948885849757,0.008300062351636649,3,False,-0.2701754557220397,32.11185410463463
42,empirical_sigma_inv,3,V1+V2+V4,180.4895419679793,221.40341213178584,0.008457108977345381,3,False,-0.6786127882356823,31.70341677212099
42,empirical_sigma_inv,4,V2+V4+V6,178.81738839373799,244.19636640890485,0.008118598750207836,3,False,-2.350766362477003,30.031263197879667
42,empirical_sigma_inv,5,I+V2+V4,178.79723736429787,224.4764599771562,0.007960673665230025,2,False,-2.370917391917118,30.011112168439553
42,empirical_sigma_inv,48,II+V1+V5 (clinical),148.78612519585832,387.4985441101659,0.005700976264883459,2,True,-32.38202956035667,0.0
42,empirical_sigma_inv_norm8,1,V2+V3+V5,171.78356655254805,306.0620683978143,0.006343704788122477,3,False,0.0,32.35318524747126
42,empirical_sigma_inv_norm8,2,V2+V4+V5,171.5106907908841,291.6101315184207,0.006971594086336876,3,False,-0.2728757616639541,32.080309485807305
42,empirical_sigma_inv_norm8,3,V1+V2+V4,171.0975051523508,265.76805198533367,0.007100061189865626,3,False,-0.6860614001972465,31.667123847274013
42,empirical_sigma_inv_norm8,4,V2+V4+V6,169.43036491008166,293.00816759664514,0.006823153173514016,3,False,-2.353201642466388,29.99998360500487
42,empirical_sigma_inv_norm8,5,I+V2+V4,169.40583985740443,269.0369433250687,0.006693967479125038,2,False,-2.377726695143622,29.975458552327638
42,empirical_sigma_inv_norm8,48,II+V1+V5 (clinical),139.4303813050768,461.66825718655144,0.00484549076371292,2,True,-32.35318524747126,0.0
1,identity,1,I+V1+V5,191.93213821162965,244.42535973654486,0.006798824747198051,2,False,0.0,8.038769447754731
1,identity,2,I+V1+V4,190.45671972942367,226.42398877891438,0.00843444276659231,2,False,-1.4754184822059813,6.56335096554875
1,identity,3,I+V1+V6,188.51406258545887,290.23685345002366,0.005202251589201309,2,False,-3.4180756261707756,4.620693821583956
1,identity,4,V1+V2+V5,184.76466862291608,243.8521733632946,0.00888266126145392,3,False,-7.167469588713573,0.8712998590411587
1,identity,5,II+V1+V5,183.89336876387492,271.7086625894094,0.006812272203749983,2,True,-8.038769447754731,0.0
1,identity,5,II+V1+V5 (clinical),183.89336876387492,271.7086625894094,0.006812272203749983,2,True,-8.038769447754731,0.0
1,empirical_sigma_inv,1,V2+V4+V5,195.99808811991284,198.6544252065135,0.011291310621285107,3,False,0.0,21.001659888956283
1,empirical_sigma_inv,2,I+V2+V5,193.22939340697224,191.8066490533898,0.012347189658904639,2,False,-2.7686947129406008,18.232965176015682
1,empirical_sigma_inv,3,V2+V4+V6,192.37989105764007,205.4041717279859,0.01158825502568173,3,False,-3.6181970622727704,17.383462826683513
1,empirical_sigma_inv,4,V1+V2+V5,191.8276888745577,203.52386437977268,0.01207435558967874,3,False,-4.170399245355128,16.831260643601155
1,empirical_sigma_inv,5,V2+V5+V6,191.04930982522689,294.2406480691931,0.0066646435063832925,3,False,-4.948778294685951,16.052881594270332
1,empirical_sigma_inv,34,II+V1+V5 (clinical),174.99642823095655,299.45570559799336,0.00656121851888747,2,True,-21.001659888956283,0.0
1,empirical_sigma_inv_norm8,1,V2+V4+V5,186.60113122012532,239.47841937296994,0.009418493778943656,3,False,0.0,20.979755944774666
1,empirical_sigma_inv_norm8,2,I+V2+V5,183.83089736941807,230.92367923260784,0.010282223703672369,2,False,-2.770233850707257,18.20952209406741
1,empirical_sigma_inv_norm8,3,V2+V4+V6,182.98442034910255,247.57289042642319,0.00966139993539384,3,False,-3.616710871022775,17.36304507375189
1,empirical_sigma_inv_norm8,4,V1+V2+V5,182.431792137187,245.17395828789364,0.01005904000309961,3,False,-4.169339082938336,16.81041686183633
1,empirical_sigma_inv_norm8,5,V2+V5+V6,181.67317785522988,351.5529734523009,0.005633789414984279,3,False,-4.927953364895444,16.051802579879222
1,empirical_sigma_inv_norm8,34,II+V1+V5 (clinical),165.62137527535066,357.04482935112526,0.005549185819403801,2,True,-20.979755944774666,0.0
2,identity,1,I+V1+V5,178.5091142734301,419.8657460335498,0.004489185380322504,2,False,0.0,6.973605947561111
2,identity,2,I+V1+V4,178.25242936296004,402.5838801197748,0.005251225209363454,2,False,-0.2566849104700566,6.716921037091055
2,identity,3,I+V1+V6,176.91535551434342,444.2356872380724,0.004166568576483107,2,False,-1.5937587590866826,5.379847188474429
2,identity,4,I+II+V1,175.37468643929722,444.7934395952562,0.004744494538197783,1,True,-3.134427834132879,3.8391781134282326
2,identity,5,V1+V2+V5,173.6888046659961,441.899708436454,0.005301891922644983,3,False,-4.820309607434012,2.153296340127099
2,identity,9,II+V1+V5 (clinical),171.535508325869,451.8160081555023,0.004748313949610831,2,True,-6.973605947561111,0.0
2,empirical_sigma_inv,1,I+V2+V4,182.05223181601113,364.60834756366273,0.00572367993233947,2,False,0.0,25.724546632755334
2,empirical_sigma_inv,2,V1+V2+V4,182.02295489664422,364.7836002185367,0.006191762951590306,3,False,-0.02927691936690735,25.695269713388427
2,empirical_sigma_inv,3,I+V2+V5,181.6530864707022,380.8144136999511,0.005371525424487943,2,False,-0.39914534530893775,25.325401287446397
2,empirical_sigma_inv,4,V1+V2+V5,180.8989993387058,379.2800120777156,0.006238726772578263,3,False,-1.1532324773053233,24.57131415545001
2,empirical_sigma_inv,5,V2+V4+V5,180.6767934200201,348.5348954354066,0.006389547054186951,3,False,-1.37543839599104,24.349108236764295
2,empirical_sigma_inv,41,II+V1+V5 (clinical),156.3276851832558,561.8304575427562,0.0035310035345872425,2,True,-25.724546632755334,0.0
2,empirical_sigma_inv_norm8,1,I+V2+V4,172.69135403187246,433.2384482149152,0.004864062750703766,2,False,0.0,25.682414805611955
2,empirical_sigma_inv_norm8,2,V1+V2+V4,172.66217460560736,434.0884612851251,0.0052469637667896625,3,False,-0.029179426265102393,25.653235379346853
2,empirical_sigma_inv_norm8,3,I+V2+V5,172.29565511515472,451.3254455910262,0.004575993533929748,2,False,-0.39569891671774826,25.286715888894207
2,empirical_sigma_inv_norm8,4,V1+V2+V5,171.54132592223635,450.5219562882783,0.005285381198037506,3,False,-1.1500281096361107,24.532386695975845
2,empirical_sigma_inv_norm8,5,V2+V4+V5,171.31251381917411,415.47123967531854,0.005408755116791393,3,False,-1.3788402126983499,24.303574592913606
2,empirical_sigma_inv_norm8,41,II+V1+V5 (clinical),147.0089392262605,655.5983598794385,0.0030704105089060596,2,True,-25.682414805611955,0.0
3,identity,1,I+V1+V4,184.54743371284948,351.1292970851651,0.004382136126009623,2,False,0.0,10.803055256991428
3,identity,2,I+V1+V5,183.91779772994184,344.88891871425403,0.004275514229834372,2,False,-0.6296359829076437,10.173419274083784
3,identity,3,I+V1+V6,181.86647037988695,357.1907517997421,0.0041365247918921325,2,False,-2.680963332962534,8.122091924028894
