seed,noise_model,optimal3,optimal3_logdet,clinical,clinical_logdet,clinical_rank_of_56,margin_logdet,boot_margin_mean,boot_margin_ci_lo,boot_margin_ci_hi,boot_margin_crosses_zero,boot_top_set,boot_top_set_freq,boot_freq_of_fulldata_opt,n_precordial_opt3,boot_mean_n_precordial,boot_frac_all_precordial,II_best_rank,II_in_top5,top5_mean_n_precordial,nboot,n_records,lambda,fim_dim,checkpoint
42,identity,I+V1+V4,170.6618040305142,II+V1+V5,160.67400737837426,22,9.987796652139934,10.005746911768798,9.811839545862913,10.212759136820956,False,I+V1+V4,1.0,1.0,2,2.0,0.0,14,False,2.6,200,400,0.001,47,d1s_r3_s42_best.pt
42,empirical_sigma_inv,V2+V3+V5,181.168154756215,II+V1+V5,148.78612519585832,48,32.38202956035667,32.34720115234982,32.05097332057393,32.57450605245914,False,V2+V3+V5,1.0,1.0,3,3.0,1.0,16,False,2.8,200,400,0.001,47,d1s_r3_s42_best.pt
42,empirical_sigma_inv_norm8,V2+V3+V5,171.78356655254805,II+V1+V5,139.4303813050768,48,32.35318524747126,32.317795595486885,32.02142370615518,32.546355292939786,False,V2+V3+V5,1.0,1.0,3,3.0,1.0,16,False,2.8,200,400,0.001,47,d1s_r3_s42_best.pt
1,identity,I+V1+V5,191.93213821162965,II+V1+V5,183.89336876387492,5,8.038769447754731,8.04914592673488,7.935071519605751,8.164351631869971,False,I+V1+V5,1.0,1.0,2,2.0,0.0,5,True,2.2,200,400,0.001,47,d1s_r3_s1_best.pt
1,empirical_sigma_inv,V2+V4+V5,195.99808811991284,II+V1+V5,174.99642823095655,34,21.001659888956283,20.987526040212373,20.80499085399518,21.181188727184615,False,V2+V4+V5,1.0,1.0,3,3.0,1.0,16,False,2.8,200,400,0.001,47,d1s_r3_s1_best.pt
1,empirical_sigma_inv_norm8,V2+V4+V5,186.60113122012532,II+V1+V5,165.62137527535066,34,20.979755944774666,20.965346445506682,20.78103265640331,21.159853326088673,False,V2+V4+V5,1.0,1.0,3,3.0,1.0,16,False,2.8,200,400,0.001,47,d1s_r3_s1_best.pt
2,identity,I+V1+V5,178.5091142734301,II+V1+V5,171.535508325869,9,6.973605947561111,6.987584905584717,6.861827399831645,7.138843946780881,False,I+V1+V5,1.0,1.0,2,2.0,0.0,4,True,2.0,200,400,0.001,47,d1s_r3_s2_best.pt
2,empirical_sigma_inv,I+V2+V4,182.05223181601113,II+V1+V5,156.3276851832558,41,25.724546632755334,25.725475301096616,25.519321346700877,25.96525103728892,False,I+V2+V4,0.765,0.765,2,2.235,0.235,14,False,2.6,200,400,0.001,47,d1s_r3_s2_best.pt
2,empirical_sigma_inv_norm8,I+V2+V4,172.69135403187246,II+V1+V5,147.0089392262605,41,25.682414805611955,25.683066115968614,25.47485563337239,25.92122831004975,False,I+V2+V4,0.77,0.77,2,2.23,0.23,14,False,2.6,200,400,0.001,47,d1s_r3_s2_best.pt
3,identity,I+V1+V4,184.54743371284948,II+V1+V5,173.74437845585805,13,10.803055256991428,10.817447896537859,10.659169733775112,10.953597570665774,False,I+V1+V4,1.0,1.0,2,2.0,0.0,8,False,2.4,200,400,0.001,47,d1s_r3_s3_best.pt
3,empirical_sigma_inv,V1+V2+V4,187.77981033978295,II+V1+V5,158.2188404865754,46,29.560969853207553,29.5373264647395,29.283181777155313,29.785834790302456,False,V1+V2+V4,1.0,1.0,3,3.0,1.0,19,False,2.8,200,400,0.001,47,d1s_r3_s3_best.pt
3,empirical_sigma_inv_norm8,V1+V2+V4,178.40887893330643,II+V1+V5,148.89109307484108,46,29.517785858465345,29.49362207645871,29.240523871649167,29.744320412702933,False,V1+V2+V4,1.0,1.0,3,3.0,1.0,19,False,2.8,200,400,0.001,47,d1s_r3_s3_best.pt
4,identity,I+V1+V5,185.48127743078572,II+V1+V5,176.83643229585164,8,8.644845134934087,8.64076987035288,8.517381333304892,8.757896129455224,False,I+V1+V5,1.0,1.0,2,2.0,0.0,8,False,2.2,200,400,0.001,47,d1s_r3_s4_best.pt
4,empirical_sigma_inv,V2+V4+V5,192.29223772126375,II+V1+V5,167.9263178791513,41,24.365919842112447,24.339429355340073,24.06092327652598,24.56042751093491,False,V2+V4+V5,1.0,1.0,3,3.0,1.0,15,False,2.6,200,400,0.001,47,d1s_r3_s4_best.pt
4,empirical_sigma_inv_norm8,V2+V4+V5,182.94482577711915,II+V1+V5,158.6147664498833,41,24.33005932723586,24.30328075409658,24.02424101549202,24.526241719682446,False,V2+V4+V5,1.0,1.0,3,3.0,1.0,15,False,2.6,200,400,0.001,47,d1s_r3_s4_best.pt
