lead,noise_std_scaled,noise_var_scaled,noise_std_mV,noise_var_mV2,scaler_iqr_mV,scaler_median_mV,sigma_inv_scaled,weight_norm12_script58,is_independent_lead,is_precordial,n_baseline_records,baseline_samples,noise_std_scaled_check
I,0.53722656,0.28861237,0.027444487,0.00075319986,0.05108547955751419,-0.02837103232741356,3.464855,0.54679227,True,False,12542,20,0.5372267751095043
II,0.5778506,0.33391127,0.039014842,0.001522158,0.06751714646816254,-0.026385556906461716,2.9948075,0.4726136,True,False,12542,20,0.5778508779189755
III,0.52645767,0.2771577,0.024990754,0.0006245378,0.04746978357434273,0.0031448211520910263,3.6080542,0.5693907,False,False,12542,20,0.5264560383526937
aVR,0.55393636,0.30684552,0.031394035,0.0009855855,0.056674644351005554,0.028568949550390244,3.2589688,0.5143012,False,False,12542,20,0.5539343913596649
aVL,0.48104793,0.23140712,0.017633066,0.000310925,0.03665551543235779,-0.013748297467827797,4.3213882,0.68196267,False,False,12542,20,0.48104808712513875
aVF,0.58916944,0.34712064,0.029548742,0.0008731281,0.05015326663851738,-0.01017453707754612,2.8808427,0.4546287,False,False,12542,20,0.5891688389921499
V1,0.54773563,0.30001435,0.025122121,0.000631121,0.04586540535092354,0.020218167454004288,3.333174,0.5260116,True,True,12542,20,0.5477357233460536
V2,0.2841167,0.08072229,0.029407777,0.0008648173,0.10350604355335236,-0.011144776828587055,12.388152,1.9549868,True,True,12542,20,0.2841165199887766
V3,0.2857981,0.08168055,0.031334113,0.0009818267,0.10963736474514008,-0.029532726854085922,12.242817,1.9320514,True,True,12542,20,0.2857977606675185
V4,0.29430354,0.08661457,0.026889358,0.0007230375,0.0913660079240799,-0.04049257934093475,11.545402,1.8219916,True,True,12542,20,0.29430373863098713
V5,0.3260681,0.1063204,0.022613043,0.0005113497,0.06935051083564758,-0.0417308583855629,9.405533,1.4842967,True,True,12542,20,0.32606887379851546
V6,0.38935795,0.15159962,0.02097788,0.00044007145,0.05387817323207855,-0.03508986160159111,6.596323,1.0409725,True,True,12542,20,0.3893576850753505
