cohort,quantity,n_records,pct_of_cohort
georgia,n_records,10344,100.0
georgia,n_no_dx_at_all,0,0.0
georgia,n_with_unmapped_code,0,0.0
georgia,n_ge1_target_superclass,7697,74.41
georgia,n_zero_target_superclass,2647,25.59
georgia,n_exactly1_target_superclass,6768,65.43
georgia,n_multi_target_superclass,929,8.98
georgia,n_carrying_HYP,1331,12.87
georgia,n_carrying_OTHER_code,7254,70.13
georgia,n_records_with_any_STTC_code,4620,44.66
georgia,drop_1_HYP_overlap,1331,12.87
georgia,drop_2_OTHER_code_present,6301,60.91
georgia,drop_3_multi_superclass,126,1.22
georgia,drop_4_no_target_superclass,0,0.0
georgia,n_clean_single_label_kept,2586,25.0
georgia,kept_NORM,1752,16.94
georgia,kept_MI,0,0.0
georgia,kept_STTC,542,5.24
georgia,kept_CD,292,2.82
cpsc_2018,n_records,6877,100.0
cpsc_2018,n_no_dx_at_all,0,0.0
cpsc_2018,n_with_unmapped_code,0,0.0
cpsc_2018,n_ge1_target_superclass,4746,69.01
cpsc_2018,n_zero_target_superclass,2131,30.99
cpsc_2018,n_exactly1_target_superclass,4690,68.2
cpsc_2018,n_multi_target_superclass,56,0.81
cpsc_2018,n_carrying_HYP,0,0.0
cpsc_2018,n_carrying_OTHER_code,2522,36.67
cpsc_2018,n_records_with_any_STTC_code,1087,15.81
cpsc_2018,drop_1_HYP_overlap,0,0.0
cpsc_2018,drop_2_OTHER_code_present,2522,36.67
cpsc_2018,drop_3_multi_superclass,50,0.73
cpsc_2018,drop_4_no_target_superclass,0,0.0
cpsc_2018,n_clean_single_label_kept,4305,62.6
cpsc_2018,kept_NORM,918,13.35
cpsc_2018,kept_MI,0,0.0
cpsc_2018,kept_STTC,971,14.12
cpsc_2018,kept_CD,2416,35.13
