source,derived_lead,n_records,n_samples,median_abs_residual_mV,mean_abs_residual_mV,p95_abs_residual_mV,p99_abs_residual_mV,p99p9_abs_residual_mV,max_abs_residual_mV,rms_residual_mV,median_ptp_of_lead_mV,median_abs_residual_pct_of_ptp,max_abs_residual_pct_of_ptp
observed_fold10,III,1594,159400,0.008577801031872596,0.015877108825406317,0.05234204791188743,0.1420261871980021,0.29652406804728393,0.5934143119762201,0.031240424863742174,0.565113976597786,1.5178886715055993,105.00789868068979
observed_fold10,aVR,1594,159400,0.0021488406288650477,0.003737827223245171,0.011525713233935666,0.03313661156290052,0.07023851254654816,0.15901890027227833,0.007284242611485028,0.7657484784722328,0.2806196406883188,20.766466371509033
observed_fold10,aVL,1594,159400,0.006056359241928652,0.011473313185798367,0.03671145325019596,0.12303700403617328,0.25240088464677873,0.4401237079462201,0.02512681078765925,0.5373666547238827,1.127044112002189,81.903799589569
observed_fold10,aVF,1594,159400,0.008779299488178165,0.01590494056649331,0.05304632682557143,0.14390465527289553,0.2836152659270365,0.5311330322351154,0.0309335226612007,0.5364578515291214,1.6365310831323687,99.00741143431341
d1s_r3_s42_reconstruction_fold10,III,1594,159400,0.006696389387345092,0.012918591763736022,0.03903392704352963,0.12837051061551893,0.28930633343787465,0.5665179059495397,0.02747908925780684,0.565113976597786,1.1849626207548531,100.24843295510153
d1s_r3_s42_reconstruction_fold10,aVR,1594,159400,0.0011854937098749183,0.002678686459985229,0.009128919347212048,0.029827486064196402,0.06902435222946493,0.1541015021496514,0.006382025141137256,0.7657484784722328,0.15481502650062479,20.124297531364846
d1s_r3_s42_reconstruction_fold10,aVL,1594,159400,0.005033967561968715,0.009764799566160791,0.0289091352201373,0.11423081003971515,0.23480904447754802,0.4661308712911314,0.022783722621678493,0.5373666547238827,0.9367845060195147,86.7435422710859
d1s_r3_s42_reconstruction_fold10,aVF,1594,159400,0.007813774152683363,0.013775495810249175,0.038741660223400365,0.1307711345272973,0.2763576391850665,0.5096464950597427,0.027424794000523132,0.5364578515291214,1.4565494997250863,95.0021504218914
observed_all_clean_records,III,15709,1570900,0.008591331600150524,0.016048439418384172,0.053151855633303234,0.14611483079945303,0.2984346637729857,0.7414760547578376,0.0317544885801263,0.5559449940919876,1.5453564096179246,133.3721973643946
observed_all_clean_records,aVR,15709,1570900,0.0021695633251283377,0.0038207382979602526,0.011902044268403435,0.034117855537746766,0.07522425393326573,0.22527139475649163,0.007617654643280437,0.7627446502447128,0.2844416312106906,29.53431330973182
observed_all_clean_records,aVL,15709,1570900,0.006005321625051128,0.011641345978949103,0.03700439516928084,0.12643053756300715,0.27110681548673304,0.8786094634318455,0.026535820506581976,0.5331178903579712,1.126452841606713,164.80584863544686
observed_all_clean_records,aVF,15709,1570900,0.008680148718654006,0.01594075084394856,0.05337227441421931,0.14600450438608759,0.28128051333465637,0.6650309329335519,0.031158348336073286,0.5415920913219452,1.6027096513664116,122.79184714649563
