lead_set,n_leads,arm,loss_mode,head_init_scale,grad_clip,feature_group,macro_auroc,ci_lo,ci_hi,macro_auprc,macro_f1,balanced_accuracy,observed_corr,full12_nrmse,fim_effective_rank,fim_rank95,fim_logdet,val_nrmse_selected,val_nrmse_observed,val_nrmse_full12,val_sat090,best_epoch,epochs_run,diverged,table6_teacher_auroc,bootstrap_unit,n_boot,seed
12 leads,12,locked_main,,,,theta_only,0.9010929847362688,0.8868720772088642,0.9154218613388372,0.7769300977601766,0.7063841809799168,0.6634714996497375,0.911517971808712,0.4009280204772949,4.362206935882568,9,239.5979766845703,,,,,0,0,False,0.901,patient,1000,42
12 leads,12,locked_main,,,,theta_plus_reconstruction,0.9014108235762696,0.887263639318269,0.9154638653854968,0.7759464655044654,0.695127920842443,0.6542215786459613,0.911517971808712,0.4009280204772949,4.362206935882568,9,239.5979766845703,,,,,0,0,False,0.901,patient,1000,42
II+V1+V5,3,teacher_stock,full,1.0,0.0,theta_only,0.888878516945343,0.8725434686341621,0.9035747472632054,0.76198989141282,0.7003499189572499,0.6580614156734024,0.9183035624765804,0.483286440372467,3.0101876258850098,7,167.06581115722656,0.4819096028804779,0.4150212705135345,0.4819096028804779,0.2472665719687938,74,80,False,0.887,patient,1000,42
II+V1+V5,3,teacher_stock,full,1.0,0.0,theta_plus_reconstruction,0.8871095212724889,0.8714025054189635,0.9020683833120994,0.7588066943005491,0.6879193925782511,0.6478399125269494,0.9183035624765804,0.483286440372467,3.0101876258850098,7,167.06581115722656,0.4819096028804779,0.4150212705135345,0.4819096028804779,0.2472665719687938,74,80,False,0.887,patient,1000,42
II+V1+V5,3,teacher_stable,full,0.01,1.0,theta_only,0.8899608992739687,0.8744870786909742,0.904884419716184,0.757313636811396,0.7025654571277123,0.6642631363726983,0.9293569097519578,0.4761174917221069,2.696351289749145,7,162.35162353515625,0.4725962579250335,0.3861974775791168,0.4725962579250335,0.2173064947128296,40,55,False,0.887,patient,1000,42
II+V1+V5,3,teacher_stable,full,0.01,1.0,theta_plus_reconstruction,0.8898662016435449,0.8746010721251615,0.904851332257668,0.7538399890633498,0.7018341060356587,0.6615716564700469,0.9293569097519578,0.4761174917221069,2.696351289749145,7,162.35162353515625,0.4725962579250335,0.3861974775791168,0.4725962579250335,0.2173064947128296,40,55,False,0.887,patient,1000,42
II+V1+V5,3,obs_stock,obs,1.0,0.0,theta_only,0.8878607770908575,0.8721648560612281,0.9028013395302048,0.7405613230063277,0.6826820009704961,0.6404489822291985,0.9419746484759056,0.5704345703125,2.56499981880188,7,172.15406799316406,0.3504514396190643,0.3504514396190643,0.5771985054016113,0.2293840870261192,40,55,False,0.887,patient,1000,42
II+V1+V5,3,obs_stock,obs,1.0,0.0,theta_plus_reconstruction,0.8891362815787045,0.8730258003437295,0.9037890260278169,0.7395981161417922,0.6904329912901577,0.6478006668187491,0.9419746484759056,0.5704345703125,2.56499981880188,7,172.15406799316406,0.3504514396190643,0.3504514396190643,0.5771985054016113,0.2293840870261192,40,55,False,0.887,patient,1000,42
II+V1+V5,3,obs_stable,obs,0.01,1.0,theta_only,0.8929190984844868,0.8762123992974323,0.9071832899110794,0.7566185901146006,0.685319293301316,0.6466476802394394,0.937541809318078,0.5722275972366333,2.974882125854492,7,179.87457275390625,0.3404606580734253,0.3404606580734253,0.5780800580978394,0.2181830964982509,62,77,False,0.887,patient,1000,42
II+V1+V5,3,obs_stable,obs,0.01,1.0,theta_plus_reconstruction,0.8944538697482158,0.8784380469786763,0.9086286343786616,0.7569948572306854,0.6841131252752545,0.6467434212988792,0.937541809318078,0.5722275972366333,2.974882125854492,7,179.87457275390625,0.3404606580734253,0.3404606580734253,0.5780800580978394,0.2181830964982509,62,77,False,0.887,patient,1000,42
I+V1+V4,3,teacher_stock,full,1.0,0.0,theta_only,0.8781200659095469,0.8620478831612736,0.8925821779956805,0.7183069573466853,0.6509905836148863,0.6143280053729252,0.9264695634227368,0.451780617237091,3.526087760925293,8,180.492919921875,0.4559192061424255,0.4083925485610962,0.4559192061424255,0.2895423546433449,77,80,False,0.878,patient,1000,42
I+V1+V4,3,teacher_stock,full,1.0,0.0,theta_plus_reconstruction,0.8780879032570988,0.8617554597438102,0.8932275103922185,0.7212535806821527,0.6559257472783118,0.617356998366098,0.9264695634227368,0.451780617237091,3.526087760925293,8,180.492919921875,0.4559192061424255,0.4083925485610962,0.4559192061424255,0.2895423546433449,77,80,False,0.878,patient,1000,42
I+V1+V4,3,teacher_stable,full,0.01,1.0,theta_only,0.8859658778756192,0.871468048119748,0.9003830673350851,0.7330434374665845,0.6538631055563062,0.6156948949133524,0.937605172483456,0.4413684010505676,3.230576515197754,8,175.242919921875,0.4435253739356994,0.3840951919555664,0.4435253739356994,0.219809953123331,70,80,False,0.878,patient,1000,42
I+V1+V4,3,teacher_stable,full,0.01,1.0,theta_plus_reconstruction,0.8842572194690205,0.8691020838631281,0.8984558082430286,0.7334087712194327,0.6558736453018277,0.6161916255334707,0.937605172483456,0.4413684010505676,3.230576515197754,8,175.242919921875,0.4435253739356994,0.3840951919555664,0.4435253739356994,0.219809953123331,70,80,False,0.878,patient,1000,42
I+V1+V4,3,obs_stock,obs,1.0,0.0,theta_only,0.8761167412286271,0.8612066112558366,0.8904324401647803,0.7136517728569697,0.6518433041152703,0.6127778276018716,0.9337391890484684,0.5456768870353699,2.9340622425079346,7,177.29666137695312,0.3682460188865661,0.3682460188865661,0.5506227016448975,0.2591644674539566,34,49,False,0.878,patient,1000,42
I+V1+V4,3,obs_stock,obs,1.0,0.0,theta_plus_reconstruction,0.8748715917998592,0.8605442091501597,0.8888748308096803,0.7106657141758428,0.6422761486562383,0.6021369032633123,0.9337391890484684,0.5456768870353699,2.9340622425079346,7,177.29666137695312,0.3682460188865661,0.3682460188865661,0.5506227016448975,0.2591644674539566,34,49,False,0.878,patient,1000,42
I+V1+V4,3,obs_stable,obs,0.01,1.0,theta_only,0.8772464266444171,0.8618700789145239,0.891924041412186,0.7173563972462503,0.6387038940098967,0.5979954252616922,0.9405196063090546,0.5420834422111511,3.075582265853882,7,181.8700256347656,0.3543716371059418,0.3543716371059418,0.5447676181793213,0.2649376392364502,43,58,False,0.878,patient,1000,42
I+V1+V4,3,obs_stable,obs,0.01,1.0,theta_plus_reconstruction,0.8771011355494388,0.8623897789842806,0.8917919353435301,0.7210925533565655,0.6393943582548187,0.5999535306190151,0.9405196063090546,0.5420834422111511,3.075582265853882,7,181.8700256347656,0.3543716371059418,0.3543716371059418,0.5447676181793213,0.2649376392364502,43,58,False,0.878,patient,1000,42
