lead_set,arm,feature_group,class,support,recall
12 leads,locked_main,theta_only,NORM,912,0.9418859649122808
12 leads,locked_main,theta_only,MI,256,0.50390625
12 leads,locked_main,theta_only,STTC,242,0.6157024793388429
12 leads,locked_main,theta_only,CD,184,0.592391304347826
12 leads,locked_main,theta_plus_reconstruction,NORM,912,0.9342105263157896
12 leads,locked_main,theta_plus_reconstruction,MI,256,0.48828125
12 leads,locked_main,theta_plus_reconstruction,STTC,242,0.6074380165289256
12 leads,locked_main,theta_plus_reconstruction,CD,184,0.5869565217391305
II+V1+V5,teacher_stock,theta_only,NORM,912,0.944078947368421
II+V1+V5,teacher_stock,theta_only,MI,256,0.45703125
II+V1+V5,teacher_stock,theta_only,STTC,242,0.6115702479338843
II+V1+V5,teacher_stock,theta_only,CD,184,0.6195652173913043
II+V1+V5,teacher_stock,theta_plus_reconstruction,NORM,912,0.9375
II+V1+V5,teacher_stock,theta_plus_reconstruction,MI,256,0.43359375
II+V1+V5,teacher_stock,theta_plus_reconstruction,STTC,242,0.6115702479338843
II+V1+V5,teacher_stock,theta_plus_reconstruction,CD,184,0.6086956521739131
II+V1+V5,teacher_stable,theta_only,NORM,912,0.9418859649122808
II+V1+V5,teacher_stable,theta_only,MI,256,0.44140625
II+V1+V5,teacher_stable,theta_only,STTC,242,0.6487603305785123
II+V1+V5,teacher_stable,theta_only,CD,184,0.625
II+V1+V5,teacher_stable,theta_plus_reconstruction,NORM,912,0.9353070175438596
II+V1+V5,teacher_stable,theta_plus_reconstruction,MI,256,0.46875
II+V1+V5,teacher_stable,theta_plus_reconstruction,STTC,242,0.628099173553719
II+V1+V5,teacher_stable,theta_plus_reconstruction,CD,184,0.6141304347826086
II+V1+V5,obs_stock,theta_only,NORM,912,0.9396929824561404
II+V1+V5,obs_stock,theta_only,MI,256,0.4375
II+V1+V5,obs_stock,theta_only,STTC,242,0.5867768595041323
II+V1+V5,obs_stock,theta_only,CD,184,0.5978260869565217
II+V1+V5,obs_stock,theta_plus_reconstruction,NORM,912,0.944078947368421
II+V1+V5,obs_stock,theta_plus_reconstruction,MI,256,0.4296875
II+V1+V5,obs_stock,theta_plus_reconstruction,STTC,242,0.6033057851239669
II+V1+V5,obs_stock,theta_plus_reconstruction,CD,184,0.6141304347826086
II+V1+V5,obs_stable,theta_only,NORM,912,0.9396929824561404
II+V1+V5,obs_stable,theta_only,MI,256,0.43359375
II+V1+V5,obs_stable,theta_only,STTC,242,0.5991735537190083
II+V1+V5,obs_stable,theta_only,CD,184,0.6141304347826086
II+V1+V5,obs_stable,theta_plus_reconstruction,NORM,912,0.9331140350877192
II+V1+V5,obs_stable,theta_plus_reconstruction,MI,256,0.43359375
II+V1+V5,obs_stable,theta_plus_reconstruction,STTC,242,0.6115702479338843
II+V1+V5,obs_stable,theta_plus_reconstruction,CD,184,0.6086956521739131
I+V1+V4,teacher_stock,theta_only,NORM,912,0.9320175438596492
I+V1+V4,teacher_stock,theta_only,MI,256,0.35546875
I+V1+V4,teacher_stock,theta_only,STTC,242,0.5991735537190083
I+V1+V4,teacher_stock,theta_only,CD,184,0.5706521739130435
I+V1+V4,teacher_stock,theta_plus_reconstruction,NORM,912,0.9320175438596492
I+V1+V4,teacher_stock,theta_plus_reconstruction,MI,256,0.38671875
I+V1+V4,teacher_stock,theta_plus_reconstruction,STTC,242,0.5909090909090909
I+V1+V4,teacher_stock,theta_plus_reconstruction,CD,184,0.5597826086956522
I+V1+V4,teacher_stable,theta_only,NORM,912,0.9396929824561404
I+V1+V4,teacher_stable,theta_only,MI,256,0.375
I+V1+V4,teacher_stable,theta_only,STTC,242,0.5991735537190083
I+V1+V4,teacher_stable,theta_only,CD,184,0.5489130434782609
I+V1+V4,teacher_stable,theta_plus_reconstruction,NORM,912,0.9429824561403508
I+V1+V4,teacher_stable,theta_plus_reconstruction,MI,256,0.375
I+V1+V4,teacher_stable,theta_plus_reconstruction,STTC,242,0.6033057851239669
I+V1+V4,teacher_stable,theta_plus_reconstruction,CD,184,0.5434782608695652
I+V1+V4,obs_stock,theta_only,NORM,912,0.9451754385964912
I+V1+V4,obs_stock,theta_only,MI,256,0.35546875
I+V1+V4,obs_stock,theta_only,STTC,242,0.5743801652892562
I+V1+V4,obs_stock,theta_only,CD,184,0.5760869565217391
I+V1+V4,obs_stock,theta_plus_reconstruction,NORM,912,0.9484649122807016
I+V1+V4,obs_stock,theta_plus_reconstruction,MI,256,0.33984375
I+V1+V4,obs_stock,theta_plus_reconstruction,STTC,242,0.5495867768595041
I+V1+V4,obs_stock,theta_plus_reconstruction,CD,184,0.5706521739130435
I+V1+V4,obs_stable,theta_only,NORM,912,0.9407894736842104
I+V1+V4,obs_stable,theta_only,MI,256,0.33203125
I+V1+V4,obs_stable,theta_only,STTC,242,0.5702479338842975
I+V1+V4,obs_stable,theta_only,CD,184,0.5489130434782609
I+V1+V4,obs_stable,theta_plus_reconstruction,NORM,912,0.9418859649122808
I+V1+V4,obs_stable,theta_plus_reconstruction,MI,256,0.3359375
I+V1+V4,obs_stable,theta_plus_reconstruction,STTC,242,0.5785123966942148
I+V1+V4,obs_stable,theta_plus_reconstruction,CD,184,0.5434782608695652
II,teacher_stock,theta_only,NORM,912,0.9232456140350878
II,teacher_stock,theta_only,MI,256,0.33203125
II,teacher_stock,theta_only,STTC,242,0.5330578512396694
II,teacher_stock,theta_only,CD,184,0.5054347826086957
II,teacher_stock,theta_plus_reconstruction,NORM,912,0.925438596491228
II,teacher_stock,theta_plus_reconstruction,MI,256,0.3203125
II,teacher_stock,theta_plus_reconstruction,STTC,242,0.5206611570247934
II,teacher_stock,theta_plus_reconstruction,CD,184,0.5163043478260869
II,teacher_stable,theta_only,NORM,912,0.9210526315789473
II,teacher_stable,theta_only,MI,256,0.35546875
II,teacher_stable,theta_only,STTC,242,0.5041322314049587
II,teacher_stable,theta_only,CD,184,0.5271739130434783
II,teacher_stable,theta_plus_reconstruction,NORM,912,0.9243421052631579
II,teacher_stable,theta_plus_reconstruction,MI,256,0.3515625
II,teacher_stable,theta_plus_reconstruction,STTC,242,0.5165289256198347
II,teacher_stable,theta_plus_reconstruction,CD,184,0.5271739130434783
II,obs_stock,theta_only,NORM,912,0.9298245614035088
II,obs_stock,theta_only,MI,256,0.36328125
II,obs_stock,theta_only,STTC,242,0.5082644628099173
II,obs_stock,theta_only,CD,184,0.4945652173913043
II,obs_stock,theta_plus_reconstruction,NORM,912,0.9331140350877193
II,obs_stock,theta_plus_reconstruction,MI,256,0.3515625
II,obs_stock,theta_plus_reconstruction,STTC,242,0.5082644628099173
II,obs_stock,theta_plus_reconstruction,CD,184,0.5054347826086957
II,obs_stable,theta_only,NORM,912,0.9254385964912281
II,obs_stable,theta_only,MI,256,0.33203125
II,obs_stable,theta_only,STTC,242,0.5165289256198347
II,obs_stable,theta_only,CD,184,0.4891304347826087
II,obs_stable,theta_plus_reconstruction,NORM,912,0.9254385964912281
II,obs_stable,theta_plus_reconstruction,MI,256,0.359375
II,obs_stable,theta_plus_reconstruction,STTC,242,0.5247933884297521
II,obs_stable,theta_plus_reconstruction,CD,184,0.4891304347826087
