seed,design_subset,n_records,D_optimal,A_optimal,E_optimal,D_logdet_optimal,D_logdet_clinical,D_margin_over_clinical,D_margin_over_second,clinical_rank_of_56
42,fold 10 (test),400,I+V1+V4,I+V1+V4,V1+V2+V5,170.66113919737913,160.67968956472768,9.981449632651447,0.4450347421941956,22
42,fold 9 (validation),400,I+V1+V4,I+V1+V4,I+V1+V4,172.33289177368331,162.32474754907568,10.008144224607634,0.39483375634523554,22
42,folds 1-8 (training),400,I+V1+V4,I+V1+V4,V1+V2+V5,176.4388380913902,166.59177778697105,9.84706030441916,0.06041934872664001,22
1,fold 10 (test),400,I+V1+V5,I+V1+V4,V1+V2+V4,190.00550661023672,181.9505953854374,8.054911224799326,1.4883523559911964,5
1,fold 9 (validation),400,I+V1+V5,I+V1+V4,V1+V2+V4,193.1510564813018,185.3037904741182,7.847266007183606,1.534749742774295,5
1,folds 1-8 (training),400,I+V1+V5,I+V1+V4,V1+V2+V4,195.4180640733551,187.5467012593454,7.8713628140097,1.4880125857277733,5
2,fold 10 (test),400,I+V1+V5,I+V1+V4,V1+V2+V4,177.69270318247595,170.7220393486528,6.970663833823153,0.3181502687334614,9
2,fold 9 (validation),400,I+V1+V5,I+V1+V4,V1+V2+V4,179.47009592690083,172.66703768996163,6.803058236939194,0.31097901844518105,8
2,folds 1-8 (training),400,I+V1+V5,I+V1+V4,V1+V2+V4,181.69269911255256,174.87689822879688,6.815800883755685,0.3618701513307201,8
3,fold 10 (test),400,I+V1+V4,I+V1+V5,V1+V2+V4,185.79066369466017,175.01295976967398,10.777703924986184,0.6304691710056716,13
3,fold 9 (validation),400,I+V1+V4,I+V1+V5,V1+V2+V5,188.18845137828143,177.57272024644178,10.615731131839652,0.6163991853548794,15
3,folds 1-8 (training),400,I+V1+V4,I+V1+V5,V1+V2+V5,191.32311757054163,180.6620330052414,10.661084565300229,0.6309851240816329,14
4,fold 10 (test),400,I+V1+V5,I+V1+V5,V1+V2+V6,184.24793829424902,175.5813420960813,8.666596198167724,1.2784460617761226,8
4,fold 9 (validation),400,I+V1+V5,I+V1+V5,V1+V2+V6,185.94456299628433,177.36593211501386,8.57863088127047,1.2997703892666834,8
4,folds 1-8 (training),400,I+V1+V5,I+V1+V5,V1+V2+V6,188.78351516401005,180.11306961660583,8.670445547404228,1.3528463842085898,8
