param_index,pearson_r_encoder_vs_refit,median_abs_diff_radius_units,name,tier
0,0.336624,0.734031,delta_root,B_weakly_identifiable
1,0.274471,0.0780374,edge_prox0,B_weakly_identifiable
2,0.0589546,0.430953,edge_prox1,B_weakly_identifiable
3,0.0958735,0.799954,edge_leaf0,B_weakly_identifiable
4,0.305998,0.814721,edge_leaf1,B_weakly_identifiable
5,0.271748,0.80118,edge_leaf2,B_weakly_identifiable
6,0.029322,0.727465,edge_leaf3,B_weakly_identifiable
7,0.309803,0.803892,edge_leaf4,B_weakly_identifiable
8,0.0818062,0.437049,APD0,B_weakly_identifiable
9,-0.184059,1.31665,APD1,B_weakly_identifiable
10,0.176452,0.272427,APD2,B_weakly_identifiable
11,0.615263,0.0571675,APD3,A_strongly_identifiable
12,0.834647,0.0559816,APD4,B_weakly_identifiable
13,0.692545,0.33414,APD5,A_strongly_identifiable
14,0.563231,0.476005,APD6,B_weakly_identifiable
15,0.745151,0.104684,APD7,A_strongly_identifiable
16,0.242258,0.041485,tau_dep0,B_weakly_identifiable
17,0.0701228,0.452924,tau_dep1,B_weakly_identifiable
18,0.0979349,0.161897,tau_dep2,B_weakly_identifiable
19,0.429336,0.107476,tau_dep3,A_strongly_identifiable
20,0.738737,0.096035,tau_dep4,A_strongly_identifiable
21,0.803076,0.0529172,tau_dep5,A_strongly_identifiable
22,0.597953,0.059838,tau_dep6,B_weakly_identifiable
23,0.887938,0.0511221,tau_dep7,A_strongly_identifiable
24,0.351326,0.349898,tau_rep0,B_weakly_identifiable
25,0.153909,0.604394,tau_rep1,B_weakly_identifiable
26,0.0723006,0.606848,tau_rep2,B_weakly_identifiable
27,0.750877,0.111649,tau_rep3,B_weakly_identifiable
28,0.735206,0.158597,tau_rep4,B_weakly_identifiable
29,0.644451,0.0380727,tau_rep5,B_weakly_identifiable
30,0.634888,0.142157,tau_rep6,B_weakly_identifiable
31,0.818073,0.24161,tau_rep7,B_weakly_identifiable
32,0.386575,0.170372,q0,B_weakly_identifiable
33,0.601429,0.057627,q1,B_weakly_identifiable
34,0.425358,0.0744783,q2,B_weakly_identifiable
35,0.801827,0.0897472,q3,B_weakly_identifiable
36,0.532405,0.113455,q4,B_weakly_identifiable
37,0.718922,0.109286,q5,B_weakly_identifiable
38,0.813328,0.110658,q6,B_weakly_identifiable
39,0.857269,0.0655311,q7,B_weakly_identifiable
40,0.486075,0.460978,alpha_ST0,C_primarily_regularized
41,0.109567,0.411638,alpha_ST1,C_primarily_regularized
42,0.0587671,0.041268,alpha_ST2,C_primarily_regularized
43,0.363954,0.0422741,alpha_ST3,C_primarily_regularized
44,0.446364,0.075368,alpha_ST4,C_primarily_regularized
45,0.586887,0.326572,alpha_ST5,C_primarily_regularized
46,0.667323,0.420435,global_gain,A_strongly_identifiable
