seed,noise_model,leads,D_logdet,rank,n_precordial
42,identity,I+V1+V4,170.661,1,2
42,identity,V1+V2+V5,170.216,2,3
42,identity,V1+V2+V4,170.192,3,3
42,identity,I+V1+V5,168.663,4,2
42,identity,V1+V2+V6,167.287,5,3
42,identity,I+V1+V3,166.857,6,2
42,identity,V1+V3+V5,165.025,7,3
42,identity,V1+V2+V3,164.691,8,3
42,identity,I+V1+V6,164.621,9,2
42,identity,V1+V3+V4,164.198,10,3
42,identity,V1+V3+V6,163.672,11,3
42,identity,I+V2+V5,163.491,12,2
42,identity,I+V2+V4,163.262,13,2
42,identity,II+V1+V4,163.083,14,2
42,identity,II+V1+V3,162.525,15,2
42,identity,II+V1+V2,161.973,16,2
42,identity,V1+V4+V5,161.672,17,3
42,identity,I+V2+V6,161.112,18,2
42,identity,I+V1+V2,161.104,19,2
42,identity,I+II+V1,160.968,20,1
42,identity,V1+V4+V6,160.812,21,3
42,identity,II+V1+V5,160.678,22,2
42,identity,I+V3+V6,158.118,23,2
42,identity,I+V2+V3,157.621,24,2
42,identity,I+V3+V5,157.581,25,2
42,identity,V1+V5+V6,157.396,26,3
42,identity,V2+V4+V6,156.4,27,3
42,identity,I+II+V2,155.782,28,1
42,identity,V2+V3+V6,155.707,29,3
42,identity,II+V1+V6,155.047,30,2
42,identity,V2+V3+V5,154.341,31,3
42,identity,V2+V4+V5,154.158,32,3
42,identity,I+V3+V4,153.013,33,2
42,identity,V2+V5+V6,152.768,34,3
42,identity,II+V2+V5,152.229,35,2
42,identity,I+V4+V6,152.042,36,2
42,identity,I+II+V3,152.015,37,1
42,identity,II+V2+V6,151.908,38,2
42,identity,I+V4+V5,148.085,39,2
42,identity,II+V3+V6,147.905,40,2
42,identity,V3+V4+V6,147.464,41,3
42,identity,II+V2+V4,147.302,42,2
42,identity,V2+V3+V4,146.295,43,3
42,identity,I+II+V4,146.251,44,1
42,identity,II+V3+V5,146.117,45,2
42,identity,V3+V5+V6,145.954,46,3
42,identity,V3+V4+V5,142.793,47,3
42,identity,II+V2+V3,141.682,48,2
42,identity,II+V4+V6,140.501,49,2
42,identity,II+V3+V4,137.168,50,2
42,identity,I+V5+V6,136.735,51,2
42,identity,V4+V5+V6,136.641,52,3
42,identity,II+V4+V5,135.87,53,2
42,identity,I+II+V5,132.309,54,1
42,identity,II+V5+V6,124.127,55,2
42,identity,I+II+V6,115.984,56,1
42,empirical_diag,V2+V3+V5,171.785,1,3
42,empirical_diag,V2+V4+V5,171.512,2,3
42,empirical_diag,V1+V2+V4,171.097,3,3
42,empirical_diag,V2+V4+V6,169.429,4,3
42,empirical_diag,I+V2+V4,169.405,5,2
42,empirical_diag,V1+V2+V5,169.39,6,3
42,empirical_diag,V2+V3+V6,168.21,7,3
42,empirical_diag,I+V2+V5,168.061,8,2
42,empirical_diag,V2+V3+V4,166.932,9,3
42,empirical_diag,V1+V2+V3,164.91,10,3
42,empirical_diag,V2+V5+V6,164.653,11,3
42,empirical_diag,I+V2+V3,162.804,12,2
42,empirical_diag,V1+V2+V6,162.325,13,3
42,empirical_diag,I+V2+V6,161.292,14,2
42,empirical_diag,V1+V3+V5,161.162,15,3
42,empirical_diag,II+V2+V5,160.708,16,2
