seed,noise_model,family,n_candidates,best_set,D_logdet_best,loss_vs_unconstrained_optimum,margin_over_clinical,rank_of_56
42,identity,unconstrained,56,I+V1+V4,170.661,0,9.98259,1
42,identity,at_most_one_precordial,6,I+II+V1,160.968,-9.69274,0.289847,20
42,identity,precordial_only,20,V1+V2+V5,170.216,-0.444939,9.53765,2
42,identity,contains_II,21,II+V1+V4,163.083,-7.5778,2.40478,14
42,empirical_diag,unconstrained,56,V2+V3+V5,171.785,0,32.3448,1
42,empirical_diag,at_most_one_precordial,6,I+II+V2,148.381,-23.4043,8.94055,36
42,empirical_diag,precordial_only,20,V2+V3+V5,171.785,0,32.3448,1
42,empirical_diag,contains_II,21,II+V2+V5,160.708,-11.0776,21.2672,16
42,empirical_full,unconstrained,56,I+V2+V4,81.3914,0,22.5793,1
42,empirical_full,at_most_one_precordial,6,I+II+V2,61.0274,-20.364,2.21531,30
42,empirical_full,precordial_only,20,V1+V2+V4,75.9343,-5.4571,17.1222,5
42,empirical_full,contains_II,21,II+V2+V4,77.4729,-3.91851,18.6608,3
42,limb_artifact_x4,unconstrained,56,V1+V2+V5,179.924,0,17.5919,1
42,limb_artifact_x4,at_most_one_precordial,6,I+II+V1,143.275,-36.6497,-19.0579,44
42,limb_artifact_x4,precordial_only,20,V1+V2+V5,179.924,0,17.5919,1
42,limb_artifact_x4,contains_II,21,II+V1+V4,164.546,-15.3782,2.21364,15
42,chest_artifact_x4,unconstrained,56,I+II+V1,172.813,0,23.41,1
42,chest_artifact_x4,at_most_one_precordial,6,I+II+V1,172.813,0,23.41,1
42,chest_artifact_x4,precordial_only,20,V1+V2+V5,144.109,-28.7039,-5.29389,25
42,chest_artifact_x4,contains_II,21,I+II+V1,172.813,0,23.41,1
42,ar1_rho0.8,unconstrained,56,V1+V2+V5,63.5734,0,9.55108,1
42,ar1_rho0.8,at_most_one_precordial,6,I+II+V1,53.547,-10.0264,-0.475343,21
42,ar1_rho0.8,precordial_only,20,V1+V2+V5,63.5734,0,9.55108,1
42,ar1_rho0.8,contains_II,21,II+V1+V4,56.3122,-7.26117,2.2899,15
42,empirical_full_ar1,unconstrained,56,I+V2+V4,-20.6118,0,21.1109,1
42,empirical_full_ar1,at_most_one_precordial,6,I+II+V2,-39.571,-18.9592,2.15168,32
42,empirical_full_ar1,precordial_only,20,V1+V2+V4,-25.5034,-4.89158,16.2193,5
42,empirical_full_ar1,contains_II,21,II+V2+V4,-22.8034,-2.19157,18.9193,2
1,identity,unconstrained,56,I+V1+V5,191.932,0,8.03886,1
1,identity,at_most_one_precordial,6,I+II+V1,182.278,-9.65372,-1.61486,7
1,identity,precordial_only,20,V1+V2+V5,184.764,-7.16751,0.871355,4
1,identity,contains_II,21,II+V1+V5,183.893,-8.03886,0,5
1,empirical_diag,unconstrained,56,V2+V4+V5,186.601,0,20.9807,1
1,empirical_diag,at_most_one_precordial,6,I+II+V2,155.472,-31.1297,-10.149,46
1,empirical_diag,precordial_only,20,V2+V4+V5,186.601,0,20.9807,1
1,empirical_diag,contains_II,21,II+V2+V5,174.875,-11.7263,9.25434,16
1,empirical_full,unconstrained,56,I+V2+V4,98.2265,0,15.1129,1
1,empirical_full,at_most_one_precordial,6,I+II+V5,75.4136,-22.8129,-7.69998,35
1,empirical_full,precordial_only,20,V1+V2+V4,92.9378,-5.28869,9.82422,5
1,empirical_full,contains_II,21,II+V2+V4,97.1043,-1.12225,13.9907,2
1,limb_artifact_x4,unconstrained,56,V1+V2+V5,194.477,0,10.1427,1
1,limb_artifact_x4,at_most_one_precordial,6,I+II+V1,161.007,-33.4704,-23.3277,43
1,limb_artifact_x4,precordial_only,20,V1+V2+V5,194.477,0,10.1427,1
1,limb_artifact_x4,contains_II,21,II+V1+V5,184.334,-10.1427,0,13
1,chest_artifact_x4,unconstrained,56,I+II+V1,198.356,0,24.7777,1
1,chest_artifact_x4,at_most_one_precordial,6,I+II+V1,198.356,0,24.7777,1
1,chest_artifact_x4,precordial_only,20,V1+V2+V5,158.64,-39.7163,-14.9386,30
1,chest_artifact_x4,contains_II,21,I+II+V1,198.356,0,24.7777,1
1,ar1_rho0.8,unconstrained,56,I+V1+V5,87.1962,0,7.27227,1
1,ar1_rho0.8,at_most_one_precordial,6,I+II+V1,78.0287,-9.16748,-1.89521,11
1,ar1_rho0.8,precordial_only,20,V1+V2+V5,80.7965,-6.39969,0.872582,4
1,ar1_rho0.8,contains_II,21,II+V1+V5,79.9239,-7.27227,0,7
1,empirical_full_ar1,unconstrained,56,II+V2+V4,-0.805161,0,14.7503,1
1,empirical_full_ar1,at_most_one_precordial,6,I+II+V5,-21.6323,-20.8271,-6.07679,35
1,empirical_full_ar1,precordial_only,20,V1+V2+V4,-6.04819,-5.24303,9.50728,5
1,empirical_full_ar1,contains_II,21,II+V2+V4,-0.805161,0,14.7503,1
2,identity,unconstrained,56,I+V1+V5,178.509,0,6.9735,1
2,identity,at_most_one_precordial,6,I+II+V1,175.376,-3.13352,3.83999,4
2,identity,precordial_only,20,V1+V2+V5,173.689,-4.82051,2.15299,5
2,identity,contains_II,21,I+II+V1,175.376,-3.13352,3.83999,4
2,empirical_diag,unconstrained,56,I+V2+V4,172.69,0,25.682,1
2,empirical_diag,at_most_one_precordial,6,I+II+V2,153.275,-19.4146,6.26742,29
2,empirical_diag,precordial_only,20,V1+V2+V4,172.661,-0.0285633,25.6534,2
2,empirical_diag,contains_II,21,II+V2+V5,163.803,-8.88641,16.7956,14
2,empirical_full,unconstrained,56,I+V2+V4,93.3457,0,31.6638,1
