seed,noise_model,optimal_set,D_logdet_optimal,D_logdet_clinical,margin_over_clinical,clinical_rank_of_56,II_in_optimum,II_in_top5,n_precordial_in_optimum,V2_to_V5_in_optimum,second_set,margin_first_to_second
42,identity,I+V1+V4,170.661,160.678,9.98259,22,False,False,2,True,V1+V2+V5,0.444939
42,empirical_diag,V2+V3+V5,171.785,139.44,32.3448,48,False,False,3,True,V2+V4+V5,0.272849
42,empirical_full,I+V2+V4,81.3914,58.8121,22.5793,38,False,True,2,True,I+V2+V5,3.11602
42,limb_artifact_x4,V1+V2+V5,179.924,162.332,17.5919,21,False,False,3,True,V1+V2+V4,0.0239935
42,chest_artifact_x4,I+II+V1,172.813,149.403,23.41,22,True,True,1,False,I+II+V2,2.86725
42,ar1_rho0.8,V1+V2+V5,63.5734,54.0223,9.55108,20,False,False,3,True,V1+V2+V4,0.0743279
42,empirical_full_ar1,I+V2+V4,-20.6118,-41.7226,21.1109,39,False,True,2,True,II+V2+V4,2.19157
1,identity,I+V1+V5,191.932,183.893,8.03886,5,False,True,2,True,I+V1+V4,1.47487
1,empirical_diag,V2+V4+V5,186.601,165.621,20.9807,34,False,False,3,True,I+V2+V5,2.77087
1,empirical_full,I+V2+V4,98.2265,83.1136,15.1129,21,False,True,2,True,II+V2+V4,1.12225
1,limb_artifact_x4,V1+V2+V5,194.477,184.334,10.1427,13,False,False,3,True,V1+V2+V6,2.67358
1,chest_artifact_x4,I+II+V1,198.356,173.578,24.7777,22,True,True,1,False,I+II+V2,4.40575
1,ar1_rho0.8,I+V1+V5,87.1962,79.9239,7.27227,7,False,False,2,True,I+V1+V4,1.55115
1,empirical_full_ar1,II+V2+V4,-0.805161,-15.5555,14.7503,20,True,True,2,True,I+V2+V4,0.452127
2,identity,I+V1+V5,178.509,171.536,6.9735,9,False,True,2,True,I+V1+V4,0.256614
2,empirical_diag,I+V2+V4,172.69,147.008,25.682,41,False,False,2,True,V1+V2+V4,0.0285633
2,empirical_full,I+V2+V4,93.3457,61.6819,31.6638,39,False,False,2,True,I+V2+V5,3.63551
2,limb_artifact_x4,V1+V2+V5,183.364,168.975,14.3885,13,False,False,3,True,V1+V2+V4,1.19104
2,chest_artifact_x4,I+II+V1,189.016,164.926,24.0897,17,True,True,1,False,I+II+V2,5.43899
2,ar1_rho0.8,I+V1+V5,79.3468,72.9366,6.41018,9,False,True,2,True,I+V1+V4,0.221628
2,empirical_full_ar1,I+V2+V4,-0.707466,-30.6804,29.9729,40,False,True,2,True,I+V2+V5,3.48699
3,identity,I+V1+V4,184.548,173.743,10.8045,13,False,False,2,True,I+V1+V5,0.630622
3,empirical_diag,V1+V2+V4,178.408,148.888,29.5208,46,False,False,3,True,V2+V3+V5,1.21211
3,empirical_full,I+V2+V4,89.8242,67.7286,22.0955,38,False,True,2,True,I+V2+V5,3.13393
3,limb_artifact_x4,V1+V2+V5,189.904,174.779,15.1243,16,False,False,3,True,V1+V2+V4,0.764495
3,chest_artifact_x4,I+II+V1,189.109,161.747,27.3618,23,True,True,1,False,I+II+V2,6.00364
3,ar1_rho0.8,I+V1+V4,79.5451,69.1431,10.402,16,False,False,2,True,I+V1+V5,0.70821
3,empirical_full_ar1,I+V2+V4,-10.0011,-29.9596,19.9586,37,False,True,2,True,I+V2+V5,2.84314
4,identity,I+V1+V5,185.481,176.836,8.645,8,False,False,2,True,I+V1+V4,1.28651
4,empirical_diag,V2+V4+V5,182.945,158.615,24.33,41,False,False,3,True,I+V2+V5,2.01168
4,empirical_full,I+V2+V4,95.1736,77.2448,17.9288,30,False,True,2,True,II+V2+V5,3.02281
4,limb_artifact_x4,V1+V2+V5,189.808,177.466,12.3419,14,False,False,3,True,V1+V2+V4,2.99798
4,chest_artifact_x4,I+II+V1,190.836,167.093,23.7426,19,True,True,1,False,I+II+V2,4.24884
4,ar1_rho0.8,I+V1+V5,83.2393,75.3587,7.88059,12,False,False,2,True,I+V1+V4,1.123
4,empirical_full_ar1,I+V2+V4,-1.57501,-18.0453,16.4703,31,False,True,2,True,II+V2+V5,2.25694
