group_a,group_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_raw,p_bonferroni,p_bh,sig_bh_05,sig_bonf_05
C5_theta_rep_st_stab,C6_compact_heuristic,0.9014108235762697,0.8937697253610236,0.007641098215246056,0.0026442758002233223,0.012804466557955667,0.002,0.03,0.03,True,True
C0_theta,C6_compact_heuristic,0.9010929847362688,0.8937697253610236,0.007323259375245139,0.0019971609891276886,0.012884333741870244,0.009,0.13499999999999998,0.049999999999999996,True,False
C2_theta_rep,C6_compact_heuristic,0.9004376411565225,0.8937697253610236,0.006667915795498858,0.0016788351897228382,0.011670273587370335,0.01,0.15,0.049999999999999996,True,False
C4_theta_stab,C6_compact_heuristic,0.8998960382520481,0.8937697253610236,0.006126312891024499,0.000903211674751972,0.011593827862094827,0.021,0.315,0.07875,False,False
C3_theta_st,C6_compact_heuristic,0.8995414421366748,0.8937697253610236,0.005771716775651137,0.00029614042627113256,0.011454538050379626,0.038,0.57,0.11399999999999999,False,False
C0_theta,C3_theta_st,0.9010929847362688,0.8995414421366748,0.0015515425995940024,-0.0002967906213164756,0.003412443311401272,0.108,1.0,0.26999999999999996,False,False
C3_theta_st,C5_theta_rep_st_stab,0.8995414421366748,0.9014108235762697,-0.0018693814395949193,-0.004610059572671635,0.0007869711632206084,0.185,1.0,0.3964285714285714,False,False
C0_theta,C4_theta_stab,0.9010929847362688,0.8998960382520481,0.00119694648422064,-0.0009100397089851053,0.0031629214342550694,0.246,1.0,0.435,False,False
C4_theta_stab,C5_theta_rep_st_stab,0.8998960382520481,0.9014108235762697,-0.001514785324221557,-0.00405330590733721,0.0011133887413795642,0.261,1.0,0.435,False,False
C2_theta_rep,C5_theta_rep_st_stab,0.9004376411565225,0.9014108235762697,-0.0009731824197471983,-0.0032161971837919995,0.0012254815542600932,0.395,1.0,0.5925,False,False
C2_theta_rep,C3_theta_st,0.9004376411565225,0.8995414421366748,0.000896199019847721,-0.0020634246009438003,0.0037098967546543497,0.546,1.0,0.7445454545454546,False,False
C0_theta,C2_theta_rep,0.9010929847362688,0.9004376411565225,0.0006553435797462814,-0.002031084666783639,0.003351814300577618,0.615,1.0,0.7687499999999999,False,False
C2_theta_rep,C4_theta_stab,0.9004376411565225,0.8998960382520481,0.0005416029044743587,-0.0020299292245041537,0.00312062627395083,0.682,1.0,0.786923076923077,False,False
C3_theta_st,C4_theta_stab,0.8995414421366748,0.8998960382520481,-0.00035459611537336233,-0.0024327668285359398,0.0016524896386207464,0.759,1.0,0.8132142857142857,False,False
C0_theta,C5_theta_rep_st_stab,0.9010929847362688,0.9014108235762697,-0.0003178388400009169,-0.0030415048298886886,0.0024772420198977624,0.875,1.0,0.875,False,False
